,num_docks_available,num_bikes_available,legacy_id,is_returning,station_id,is_installed,is_renting,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,last_reported,num_bikes_disabled,last_update,num_scooters_unavailable,num_scooters_available
75,1,17,4825,1,5145ad1c-241f-4448-a742-739bd5c518c2,1,1,2,False,0,1691630415,1,2023-08-10 01:15:11.129474,0.0,0.0
76,0,23,3113,1,66dd1f44-0aca-11e7-82f6-3863bb44ef7c,1,1,6,False,0,1691630416,2,2023-08-10 01:15:11.129474,0.0,0.0
77,23,4,3842,1,a3d72b5b-9587-4f33-9722-c01e20a9b358,1,1,4,False,2,1691630412,0,2023-08-10 01:15:11.129474,0.0,0.0
78,7,13,4905,1,7779e057-b33e-46a7-8a1e-8c28bcd9a558,1,1,0,False,1,1691630415,0,2023-08-10 01:15:11.129474,0.0,0.0
79,8,15,1835618878584115330,1,1835618878584115330,1,1,3,False,0,1691630415,2,2023-08-10 01:15:11.129474,0.0,0.0
80,11,8,4758,1,6d766daf-9298-4059-a329-1818582d495f,1,1,2,False,0,1691630415,0,2023-08-10 01:15:11.129474,0.0,0.0
81,0,21,3622,1,c63a83a0-bda1-40a6-835b-f82c363543b9,1,1,1,False,0,1691630423,2,2023-08-10 01:15:11.129474,0.0,0.0
82,10,4,3365,1,66de205d-0aca-11e7-82f6-3863bb44ef7c,1,1,2,False,2,1691630420,9,2023-08-10 01:15:11.129474,0.0,0.0
83,5,12,3961,1,581bc4fe-cf14-4767-8377-6fa156ff8a29,1,1,1,False,0,1691630421,2,2023-08-10 01:15:11.129474,0.0,0.0
84,2,17,4398,1,93da4d1b-d574-45b0-85d7-5b82e2887267,1,1,0,False,0,1691630421,2,2023-08-10 01:15:11.129474,0.0,0.0
85,4,16,3819,1,63a838a8-9acf-4ba1-91f5-c676f6ef2f7d,1,1,0,False,0,1691630421,0,2023-08-10 01:15:11.129474,0.0,0.0
86,11,2,4493,1,f9ed9a6b-097e-48b9-a9d1-79d084dcd2d9,1,1,1,False,0,1691630421,5,2023-08-10 01:15:11.129474,0.0,0.0
87,1,27,4361,1,e85c3165-ad0a-44a3-9683-d8cf7575f465,1,1,0,False,1,1691630421,0,2023-08-10 01:15:11.129474,0.0,0.0
88,3,13,4424,1,eb217a2c-1dd0-4690-a34e-ecc1a708f883,1,1,4,False,2,1691630420,3,2023-08-10 01:15:11.129474,0.0,0.0
89,16,4,4114,1,b4a320d6-2611-4940-96ca-17fb297ec826,1,1,0,False,1,1691630420,5,2023-08-10 01:15:11.129474,0.0,0.0
90,1,19,4567,1,6542d952-ca19-410e-9290-ee6b7a6e14cf,1,1,1,False,0,1691630418,0,2023-08-10 01:15:11.129474,0.0,0.0
91,12,32,4590,1,c71cca54-17f6-42bc-ba94-3f5bd9c70197,1,1,1,False,0,1691630422,2,2023-08-10 01:15:11.129474,0.0,0.0
92,1,13,406,1,66dbf288-0aca-11e7-82f6-3863bb44ef7c,1,1,3,False,0,1691630422,1,2023-08-10 01:15:11.129474,0.0,0.0
93,55,1,526,1,66dc840f-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630422,3,2023-08-10 01:15:11.129474,0.0,0.0
94,16,3,5005,1,cf1a96a7-f695-4ba2-bcf2-899552e21e47,1,1,0,False,1,1691630419,0,2023-08-10 01:15:11.129474,0.0,0.0
95,0,18,3496,1,0b613329-b8c8-4b8c-ad40-79952aa41157,1,1,2,False,0,1691630419,7,2023-08-10 01:15:11.129474,0.0,0.0
96,1,17,4751,1,f3782e27-c49a-4ee9-b188-0c13cad54688,1,1,3,False,1,1691630420,2,2023-08-10 01:15:11.129474,0.0,0.0
97,24,4,3836,1,74723006-b32f-4590-8cc7-f15eec3808fe,1,1,1,False,0,1691630421,1,2023-08-10 01:15:11.129474,0.0,0.0
98,12,4,4912,1,038b7369-9c6e-4eb2-8569-f7461443302f,1,1,0,False,0,1691630424,5,2023-08-10 01:15:11.129474,0.0,0.0
99,56,0,520,1,66dc80b4-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630425,3,2023-08-10 01:15:11.129474,0.0,0.0
100,15,6,4047,1,26217b73-7bb5-46e6-8094-1db05becd617,1,1,5,False,1,1691630425,5,2023-08-10 01:15:11.129474,0.0,0.0
101,4,15,4094,1,38af3d1a-9916-46cf-b22e-86fc8648bf30,1,1,1,False,0,1691630426,1,2023-08-10 01:15:11.129474,0.0,0.0
102,7,12,4801,1,26b3a82b-3487-44c2-85f1-eddb5a8a3a9d,1,1,1,False,0,1691630426,4,2023-08-10 01:15:11.129474,0.0,0.0
103,8,26,3547,1,bc5235a5-7f10-4a27-806e-9c25fa700959,1,1,2,False,0,1691630426,6,2023-08-10 01:15:11.129474,0.0,0.0
