,station_status,num_bikes_available,num_ebikes_available,eightd_has_available_keys,legacy_id,num_bikes_disabled,num_docks_available,is_installed,station_id,num_docks_disabled,is_renting,is_returning,last_reported,last_update
927,active,20,4,False,3956,0,3,1,3956,0,1,1,1670633452,2022-12-10 01:15:00.728023
928,active,10,3,False,3957,1,8,1,3957,0,1,1,1670634762,2022-12-10 01:15:00.728023
929,active,13,5,False,3958,1,7,1,3958,0,1,1,1670633896,2022-12-10 01:15:00.728023
930,active,6,4,False,3959,2,23,1,3959,0,1,1,1670631925,2022-12-10 01:15:00.728023
931,active,3,3,False,3960,0,18,1,3960,0,1,1,1670634287,2022-12-10 01:15:00.728023
932,active,7,2,False,3961,0,11,1,3961,0,1,1,1670634405,2022-12-10 01:15:00.728023
933,active,8,4,False,3963,0,22,1,3963,0,1,1,1670633649,2022-12-10 01:15:00.728023
934,active,7,3,False,3964,1,12,1,3964,0,1,1,1670628298,2022-12-10 01:15:00.728023
935,active,4,1,False,3965,5,9,1,3965,0,1,1,1670633259,2022-12-10 01:15:00.728023
936,active,4,4,False,3966,1,14,1,3966,0,1,1,1670633573,2022-12-10 01:15:00.728023
937,active,0,0,False,3967,4,24,1,3967,0,1,1,1670628058,2022-12-10 01:15:00.728023
938,active,8,1,False,3968,0,13,1,3968,0,1,1,1670630632,2022-12-10 01:15:00.728023
939,active,4,0,False,3969,0,15,1,3969,0,1,1,1670624107,2022-12-10 01:15:00.728023
940,active,4,1,False,3970,0,15,1,3970,0,1,1,1670630824,2022-12-10 01:15:00.728023
941,active,17,2,False,3972,0,6,1,3972,0,1,1,1670630535,2022-12-10 01:15:00.728023
942,active,1,0,False,3973,2,23,1,3973,0,1,1,1670634131,2022-12-10 01:15:00.728023
943,active,15,0,False,3975,0,6,1,3975,0,1,1,1670625618,2022-12-10 01:15:00.728023
944,active,15,0,False,3976,0,4,1,3976,0,1,1,1670632687,2022-12-10 01:15:00.728023
945,active,8,0,False,3977,1,18,1,3977,0,1,1,1670633372,2022-12-10 01:15:00.728023
946,active,12,5,False,3978,0,6,1,3978,0,1,1,1670622795,2022-12-10 01:15:00.728023
947,active,0,0,False,3980,0,20,1,3980,0,1,1,1670633077,2022-12-10 01:15:00.728023
948,active,2,1,False,3981,1,21,1,3981,0,1,1,1670626088,2022-12-10 01:15:00.728023
949,active,7,0,False,3982,2,12,1,3982,0,1,1,1670627975,2022-12-10 01:15:00.728023
950,active,2,1,False,3983,1,20,1,3983,0,1,1,1670629959,2022-12-10 01:15:00.728023
951,active,2,0,False,3984,1,18,1,3984,0,1,1,1670623782,2022-12-10 01:15:00.728023
952,active,8,0,False,3985,1,13,1,3985,0,1,1,1670629680,2022-12-10 01:15:00.728023
953,active,17,1,False,3986,3,15,1,3986,0,1,1,1670634407,2022-12-10 01:15:00.728023
954,active,12,1,False,3987,0,11,1,3987,0,1,1,1670629692,2022-12-10 01:15:00.728023
955,active,1,0,False,3988,0,18,1,3988,0,1,1,1670624458,2022-12-10 01:15:00.728023
956,active,16,16,False,3989,6,0,1,3989,0,1,1,1670634823,2022-12-10 01:15:00.728023
957,active,12,5,False,3994,0,16,1,3994,0,1,1,1670631506,2022-12-10 01:15:00.728023
958,active,3,0,False,3995,1,16,1,3995,0,1,1,1670632284,2022-12-10 01:15:00.728023
959,active,3,0,False,3996,1,20,1,3996,0,1,1,1670628862,2022-12-10 01:15:00.728023
960,active,0,0,False,3997,0,18,1,3997,0,1,1,1670634594,2022-12-10 01:15:00.728023
961,active,3,0,False,3998,0,26,1,3998,0,1,1,1670633736,2022-12-10 01:15:00.728023
962,active,9,0,False,3999,0,13,1,3999,0,1,1,1670634357,2022-12-10 01:15:00.728023
963,active,7,0,False,4000,0,15,1,4000,0,1,1,1670633946,2022-12-10 01:15:00.728023
964,active,3,0,False,4001,0,20,1,4001,0,1,1,1670620270,2022-12-10 01:15:00.728023
965,active,10,0,False,4002,0,12,1,4002,0,1,1,1670628370,2022-12-10 01:15:00.728023
966,active,20,2,False,4004,1,0,1,4004,0,1,1,1670628658,2022-12-10 01:15:00.728023
967,active,0,0,False,4005,0,22,1,4005,0,1,1,1670628532,2022-12-10 01:15:00.728023
968,active,3,1,False,4006,1,21,1,4006,0,1,1,1670628080,2022-12-10 01:15:00.728023
969,active,5,1,False,4007,1,23,1,4007,0,1,1,1670628932,2022-12-10 01:15:00.728023
970,active,2,2,False,4008,0,21,1,4008,0,1,1,1670633420,2022-12-10 01:15:00.728023
971,active,4,0,False,4009,2,28,1,4009,0,1,1,1670632716,2022-12-10 01:15:00.728023
972,active,1,1,False,4010,0,23,1,4010,0,1,1,1670628051,2022-12-10 01:15:00.728023
973,active,7,2,False,4011,0,18,1,4011,0,1,1,1670634868,2022-12-10 01:15:00.728023
974,active,3,2,False,4012,1,17,1,4012,0,1,1,1670633786,2022-12-10 01:15:00.728023
975,active,0,0,False,4013,2,22,1,4013,0,0,0,1670623545,2022-12-10 01:15:00.728023
976,active,2,0,False,4014,0,20,1,4014,0,1,1,1670634721,2022-12-10 01:15:00.728023
977,active,10,2,False,4015,0,20,1,4015,0,1,1,1670628033,2022-12-10 01:15:00.728023
978,active,3,0,False,4016,1,17,1,4016,0,1,1,1670633996,2022-12-10 01:15:00.728023
979,active,0,0,False,4017,0,20,1,4017,0,1,1,1670633687,2022-12-10 01:15:00.728023
980,active,6,0,False,4018,0,15,1,4018,0,1,1,1670632116,2022-12-10 01:15:00.728023
981,active,16,10,False,4019,0,0,1,4019,0,1,1,1670621911,2022-12-10 01:15:00.728023
982,active,2,2,False,4020,2,18,1,4020,0,1,1,1670634907,2022-12-10 01:15:00.728023
983,active,10,1,False,4021,0,11,1,4021,0,1,1,1670624446,2022-12-10 01:15:00.728023
984,active,1,0,False,4023,3,20,1,4023,0,1,1,1670634539,2022-12-10 01:15:00.728023
985,out_of_service,0,0,False,4024,0,0,0,4024,0,0,0,86400,2022-12-10 01:15:00.728023
986,active,3,3,False,4025,0,17,1,4025,0,1,1,1670634083,2022-12-10 01:15:00.728023
987,active,1,1,False,4027,1,21,1,4027,0,1,1,1670632261,2022-12-10 01:15:00.728023
988,active,11,1,False,4028,1,7,1,4028,0,1,1,1670624977,2022-12-10 01:15:00.728023
989,active,5,2,False,4029,0,18,1,4029,0,1,1,1670633705,2022-12-10 01:15:00.728023
990,active,8,3,False,4031,0,11,1,4031,0,1,1,1670624416,2022-12-10 01:15:00.728023
991,active,2,0,False,4032,0,17,1,4032,0,1,1,1670619526,2022-12-10 01:15:00.728023
992,active,0,0,False,4035,1,19,1,4035,0,1,1,1670629883,2022-12-10 01:15:00.728023
993,active,34,6,False,4036,1,1,1,4036,0,1,1,1670634351,2022-12-10 01:15:00.728023
994,active,26,6,False,4037,1,11,1,4037,0,1,1,1670634813,2022-12-10 01:15:00.728023
995,active,3,1,False,4038,0,33,1,4038,0,1,1,1670601573,2022-12-10 01:15:00.728023
996,active,32,0,False,4040,2,41,1,4040,0,1,1,1670634782,2022-12-10 01:15:00.728023
997,active,11,5,False,4041,0,7,1,4041,0,1,1,1670634190,2022-12-10 01:15:00.728023
998,active,39,18,False,4044,6,3,1,4044,0,1,1,1670634668,2022-12-10 01:15:00.728023
999,active,21,9,False,4045,1,15,1,4045,0,1,1,1670634894,2022-12-10 01:15:00.728023
1000,active,2,2,False,4047,2,23,1,4047,0,1,1,1670630767,2022-12-10 01:15:00.728023
1001,active,0,0,False,4048,0,20,1,4048,0,1,1,1670634133,2022-12-10 01:15:00.728023
1002,active,3,1,False,4050,1,17,1,4050,0,1,1,1670627741,2022-12-10 01:15:00.728023
1003,active,2,1,False,4051,2,22,1,4051,0,1,1,1670634871,2022-12-10 01:15:00.728023
1004,active,1,0,False,4052,0,25,1,4052,0,1,1,1670629792,2022-12-10 01:15:00.728023
1005,active,4,0,False,4053,0,15,1,4053,0,1,1,1670574188,2022-12-10 01:15:00.728023
1006,active,2,1,False,4054,0,17,1,4054,0,1,1,1670632833,2022-12-10 01:15:00.728023
1007,active,3,1,False,4055,0,24,1,4055,0,1,1,1670632144,2022-12-10 01:15:00.728023
1008,active,11,6,False,4056,1,9,1,4056,0,1,1,1670634020,2022-12-10 01:15:00.728023
1009,active,3,0,False,4057,1,19,1,4057,0,1,1,1670629248,2022-12-10 01:15:00.728023
1010,active,15,1,False,4058,3,41,1,4058,0,1,1,1670634880,2022-12-10 01:15:00.728023
1011,active,0,0,False,4059,0,31,1,4059,0,1,1,1670631149,2022-12-10 01:15:00.728023
1012,active,0,0,False,4060,1,22,1,4060,0,1,1,1670634939,2022-12-10 01:15:00.728023
1013,active,1,1,False,4061,1,22,1,4061,0,1,1,1670633265,2022-12-10 01:15:00.728023
1014,active,0,0,False,4062,1,21,1,4062,0,1,1,1670632124,2022-12-10 01:15:00.728023
1015,active,1,1,False,4063,0,22,1,4063,0,1,1,1670632714,2022-12-10 01:15:00.728023
1016,active,11,3,False,4064,0,12,1,4064,0,1,1,1670634524,2022-12-10 01:15:00.728023
1017,active,2,2,False,4065,1,32,1,4065,0,1,1,1670633549,2022-12-10 01:15:00.728023
1018,active,0,0,False,4066,0,23,1,4066,0,1,1,1670622547,2022-12-10 01:15:00.728023
1019,active,1,1,False,4067,1,21,1,4067,0,1,1,1670611739,2022-12-10 01:15:00.728023
1020,active,3,2,False,4068,0,25,1,4068,0,1,1,1670634497,2022-12-10 01:15:00.728023
1021,active,1,0,False,4069,0,23,1,4069,0,1,1,1670616556,2022-12-10 01:15:00.728023
1022,active,3,2,False,4070,1,20,1,4070,0,1,1,1670634497,2022-12-10 01:15:00.728023
1023,active,3,3,False,4071,2,16,1,4071,0,1,1,1670633948,2022-12-10 01:15:00.728023
1024,active,22,1,False,4073,1,11,1,4073,0,1,1,1670633840,2022-12-10 01:15:00.728023
1025,active,1,1,False,4074,0,20,1,4074,0,1,1,1670627997,2022-12-10 01:15:00.728023
1026,active,14,3,False,4075,4,20,1,4075,0,1,1,1670634370,2022-12-10 01:15:00.728023
1027,active,22,0,False,4076,1,6,1,4076,0,1,1,1670618366,2022-12-10 01:15:00.728023
1028,active,3,0,False,4078,1,27,1,4078,0,1,1,1670634598,2022-12-10 01:15:00.728023
1029,active,20,1,False,4080,0,1,1,4080,0,1,1,1670617563,2022-12-10 01:15:00.728023
1030,active,5,0,False,4081,0,16,1,4081,0,1,1,1670614958,2022-12-10 01:15:00.728023
1031,active,13,2,False,4082,0,16,1,4082,0,1,1,1670631185,2022-12-10 01:15:00.728023
1032,active,6,3,False,4083,1,13,1,4083,0,1,1,1670632699,2022-12-10 01:15:00.728023
1033,active,8,3,False,4084,1,12,1,4084,0,1,1,1670631993,2022-12-10 01:15:00.728023
1034,active,10,1,False,4085,1,14,1,4085,0,1,1,1670633840,2022-12-10 01:15:00.728023
1035,active,18,0,False,4086,1,2,1,4086,0,1,1,1670617241,2022-12-10 01:15:00.728023
1036,active,0,0,False,4087,1,20,1,4087,0,1,1,1670632652,2022-12-10 01:15:00.728023
1037,active,4,4,False,4088,0,15,1,4088,0,1,1,1670633430,2022-12-10 01:15:00.728023
1038,active,1,0,False,4090,0,19,1,4090,0,1,1,1670614715,2022-12-10 01:15:00.728023
1039,active,11,0,False,4091,2,8,1,4091,0,1,1,1670615186,2022-12-10 01:15:00.728023
1040,active,17,1,False,4092,0,2,1,4092,0,1,1,1670627053,2022-12-10 01:15:00.728023
1041,active,9,4,False,4094,0,12,1,4094,0,1,1,1670631254,2022-12-10 01:15:00.728023
1042,active,17,1,False,4095,1,3,1,4095,0,1,1,1670634652,2022-12-10 01:15:00.728023
1043,active,9,1,False,4096,0,21,1,4096,0,1,1,1670633570,2022-12-10 01:15:00.728023
1044,active,0,0,False,4098,1,19,1,4098,0,1,1,1670631761,2022-12-10 01:15:00.728023
1045,active,19,2,False,4099,0,2,1,4099,0,1,1,1670627243,2022-12-10 01:15:00.728023
1046,active,17,0,False,4101,0,2,1,4101,0,1,1,1670626438,2022-12-10 01:15:00.728023
1047,active,3,3,False,4102,1,18,1,4102,0,1,1,1670629636,2022-12-10 01:15:00.728023
1048,active,0,0,False,4103,0,19,1,4103,0,1,1,1670625288,2022-12-10 01:15:00.728023
1049,active,2,0,False,4104,0,18,1,4104,0,1,1,1670634604,2022-12-10 01:15:00.728023
1050,active,1,0,False,4105,0,20,1,4105,0,1,1,1670634925,2022-12-10 01:15:00.728023
1051,active,3,2,False,4106,1,15,1,4106,0,1,1,1670634158,2022-12-10 01:15:00.728023
1052,active,11,3,False,4107,0,13,1,4107,0,1,1,1670625637,2022-12-10 01:15:00.728023
1053,active,0,0,False,4108,2,17,1,4108,0,1,1,1670630632,2022-12-10 01:15:00.728023
1054,active,3,1,False,4109,0,17,1,4109,0,1,1,1670615388,2022-12-10 01:15:00.728023
1055,active,3,1,False,4110,0,27,1,4110,0,1,1,1670634556,2022-12-10 01:15:00.728023
1056,active,22,0,False,4111,3,44,1,4111,0,1,1,1670634336,2022-12-10 01:15:00.728023
1057,active,17,6,False,4112,0,0,1,4112,0,1,1,1670633312,2022-12-10 01:15:00.728023
1058,active,21,3,False,4113,0,0,1,4113,0,1,1,1670632765,2022-12-10 01:15:00.728023
1059,active,23,8,False,4114,0,1,1,4114,0,1,1,1670634087,2022-12-10 01:15:00.728023
1060,active,15,6,False,4115,0,9,1,4115,0,1,1,1670623542,2022-12-10 01:15:00.728023
1061,active,13,2,False,4116,0,5,1,4116,0,1,1,1670628764,2022-12-10 01:15:00.728023
1062,active,8,0,False,4117,0,19,1,4117,0,1,1,1670634302,2022-12-10 01:15:00.728023
1063,active,6,0,False,4120,0,36,1,4120,0,1,1,1670634764,2022-12-10 01:15:00.728023
1064,active,22,0,False,4121,9,21,1,4121,0,1,1,1670634447,2022-12-10 01:15:00.728023
1065,active,9,1,False,4122,5,39,1,4122,0,1,1,1670634942,2022-12-10 01:15:00.728023
1066,active,2,1,False,4123,0,38,1,4123,0,1,1,1670634636,2022-12-10 01:15:00.728023
1067,active,13,10,False,4124,3,31,1,4124,0,1,1,1670634167,2022-12-10 01:15:00.728023
1068,active,33,1,False,4125,2,2,1,4125,0,1,1,1670634170,2022-12-10 01:15:00.728023
1069,active,15,0,False,4126,1,2,1,4126,0,1,1,1670634801,2022-12-10 01:15:00.728023
1070,active,16,3,False,4127,0,3,1,4127,0,1,1,1670631446,2022-12-10 01:15:00.728023
1071,active,3,0,False,4128,1,20,1,4128,0,1,1,1670634038,2022-12-10 01:15:00.728023
1072,active,12,0,False,4129,0,6,1,4129,0,1,1,1670634854,2022-12-10 01:15:00.728023
1073,active,11,0,False,4130,1,10,1,4130,0,1,1,1670629592,2022-12-10 01:15:00.728023
1074,active,9,0,False,4131,1,9,1,4131,0,1,1,1670633030,2022-12-10 01:15:00.728023
1075,active,4,0,False,4132,0,15,1,4132,0,1,1,1670630843,2022-12-10 01:15:00.728023
1076,active,4,2,False,4133,1,15,1,4133,0,1,1,1670631777,2022-12-10 01:15:00.728023
1077,active,11,2,False,4134,0,13,1,4134,0,1,1,1670634547,2022-12-10 01:15:00.728023
1078,active,0,0,False,4135,4,19,1,4135,0,1,1,1670630321,2022-12-10 01:15:00.728023
1079,active,19,4,False,4136,0,3,1,4136,0,1,1,1670632910,2022-12-10 01:15:00.728023
1080,active,1,1,False,4137,26,0,1,4137,0,1,1,1670634871,2022-12-10 01:15:00.728023
1081,active,12,0,False,4138,0,7,1,4138,0,1,1,1670621914,2022-12-10 01:15:00.728023
1082,active,0,0,False,4139,1,18,1,4139,0,1,1,1670631474,2022-12-10 01:15:00.728023
1083,active,5,3,False,4140,0,19,1,4140,0,1,1,1670631377,2022-12-10 01:15:00.728023
1084,active,14,0,False,4141,0,6,1,4141,0,1,1,1670631486,2022-12-10 01:15:00.728023
1085,active,9,0,False,4142,0,10,1,4142,0,1,1,1670619570,2022-12-10 01:15:00.728023
1086,active,2,0,False,4143,0,19,1,4143,0,1,1,1670615333,2022-12-10 01:15:00.728023
1087,active,2,2,False,4144,1,19,1,4144,0,1,1,1670631630,2022-12-10 01:15:00.728023
1088,active,3,0,False,4146,2,25,1,4146,0,1,1,1670629535,2022-12-10 01:15:00.728023
1089,active,4,4,False,4147,1,13,1,4147,0,1,1,1670631347,2022-12-10 01:15:00.728023
1090,active,3,0,False,4148,0,24,1,4148,0,1,1,1670625353,2022-12-10 01:15:00.728023
1091,active,1,1,False,4149,1,18,1,4149,0,1,1,1670634150,2022-12-10 01:15:00.728023
1092,active,18,1,False,4151,0,3,1,4151,0,1,1,1670633899,2022-12-10 01:15:00.728023
1093,active,1,1,False,4152,2,18,1,4152,0,1,1,1670632961,2022-12-10 01:15:00.728023
1094,active,2,0,False,4153,1,24,1,4153,0,1,1,1670620390,2022-12-10 01:15:00.728023
