,num_docks_disabled,is_returning,is_renting,last_reported,num_docks_available,num_bikes_disabled,station_id,is_installed,station_status,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,last_update,eightd_active_station_services,valet
572,1,1671494112,3492,active,1,22,3,False,0,3492,1,0,2,2022-12-20 02:15:58.023140,,
573,1,1671502336,3493,active,1,26,5,False,0,3493,1,1,0,2022-12-20 02:15:58.023140,,
574,1,1671502585,3494,active,1,17,7,False,0,3494,1,1,1,2022-12-20 02:15:58.023140,,
575,1,1671502556,3495,active,1,14,11,False,0,3495,1,1,0,2022-12-20 02:15:58.023140,,
576,1,1671502631,3496,active,1,8,12,False,0,3496,1,3,3,2022-12-20 02:15:58.023140,,
577,1,1671503077,3497,active,1,19,3,False,0,3497,1,0,1,2022-12-20 02:15:58.023140,,
578,1,1671502248,3498,active,1,9,11,False,0,3498,1,1,1,2022-12-20 02:15:58.023140,,
579,1,1671502540,3499,active,1,15,9,False,0,3499,1,0,1,2022-12-20 02:15:58.023140,,
580,1,1671496108,3500,active,1,22,9,False,0,3500,1,0,0,2022-12-20 02:15:58.023140,,
581,1,1671502038,3501,active,1,18,10,False,0,3501,1,3,0,2022-12-20 02:15:58.023140,,
582,1,1671502955,3502,active,1,25,4,False,0,3502,1,0,0,2022-12-20 02:15:58.023140,,
583,1,1671497408,3503,active,1,26,4,False,0,3503,1,0,0,2022-12-20 02:15:58.023140,,
584,1,1671503178,3504,active,1,24,2,False,0,3504,1,0,1,2022-12-20 02:15:58.023140,,
585,1,1671500316,3505,active,1,9,20,False,0,3505,1,1,3,2022-12-20 02:15:58.023140,,
586,1,1671503001,3506,active,1,25,4,False,0,3506,1,1,0,2022-12-20 02:15:58.023140,,
587,1,1671502298,3507,active,1,16,18,False,0,3507,1,1,1,2022-12-20 02:15:58.023140,,
588,1,1671503132,3508,active,1,25,6,False,0,3508,1,0,0,2022-12-20 02:15:58.023140,,
589,1,1671503175,3509,active,1,21,7,False,0,3509,1,1,3,2022-12-20 02:15:58.023140,,
590,1,1671502853,3510,active,1,18,12,False,0,3510,1,3,0,2022-12-20 02:15:58.023140,,
591,1,1671499085,3511,active,1,15,7,False,0,3511,1,2,0,2022-12-20 02:15:58.023140,,
592,1,1671502347,3513,active,1,31,2,False,0,3513,1,1,0,2022-12-20 02:15:58.023140,,
593,1,1671497150,3514,active,1,28,5,False,0,3514,1,4,0,2022-12-20 02:15:58.023140,,
594,1,1671500901,3515,active,1,15,4,False,0,3515,1,2,0,2022-12-20 02:15:58.023140,,
595,1,1671497728,3516,active,1,28,1,False,0,3516,1,0,1,2022-12-20 02:15:58.023140,,
596,1,1671489896,3517,active,1,20,14,False,0,3517,1,2,1,2022-12-20 02:15:58.023140,,
597,1,1671502748,3518,active,1,24,10,False,0,3518,1,0,0,2022-12-20 02:15:58.023140,,
598,1,1671502207,3520,active,1,23,4,False,0,3520,1,2,0,2022-12-20 02:15:58.023140,,
599,1,1671503258,3521,active,1,18,16,False,0,3521,1,1,2,2022-12-20 02:15:58.023140,,
600,1,1671499754,3522,active,1,15,4,False,0,3522,1,1,0,2022-12-20 02:15:58.023140,,
601,1,1671502395,3523,active,1,39,5,False,0,3523,1,2,1,2022-12-20 02:15:58.023140,,
602,1,1671494530,3524,active,1,18,5,False,0,3524,1,2,0,2022-12-20 02:15:58.023140,,
603,1,1671497435,3525,active,1,18,2,False,0,3525,1,0,1,2022-12-20 02:15:58.023140,,
604,1,1671503241,3526,active,1,23,2,False,0,3526,1,2,1,2022-12-20 02:15:58.023140,,
605,1,1671499939,3528,active,1,16,2,False,0,3528,1,1,3,2022-12-20 02:15:58.023140,,
606,1,1671500264,3529,active,1,9,16,False,0,3529,1,1,0,2022-12-20 02:15:58.023140,,
607,1,1671502981,3530,active,1,17,1,False,0,3530,1,0,1,2022-12-20 02:15:58.023140,,
