,num_bikes_disabled,num_docks_disabled,legacy_id,is_renting,eightd_has_available_keys,last_reported,num_bikes_available,num_docks_available,is_installed,is_returning,num_ebikes_available,station_id,last_update,num_scooters_unavailable,num_scooters_available
3811,4,0,4806,1,False,1692839322,3,14,1,1,3,a4c9faeb-2234-457d-ad56-1ab14104b538,2023-08-24 01:00:31.430765,0.0,0.0
3812,2,0,3077,1,False,1692839322,21,10,1,1,7,66dcecfa-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3813,6,0,3152,1,False,1692839320,4,32,1,1,0,66dd4772-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3814,2,0,1804893262185771754,1,False,1692839320,28,1,1,1,0,1804893262185771754,2023-08-24 01:00:31.430765,0.0,0.0
3815,2,0,3953,1,False,1692839321,21,2,1,1,2,298d4e45-c6d2-45f1-a07a-11606026a6e4,2023-08-24 01:00:31.430765,0.0,0.0
3816,6,1,3142,1,False,1692839321,22,11,1,1,1,66dd4356-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3817,4,0,4193,1,False,1692839321,12,4,1,1,12,d4c34830-972f-4cd1-81bb-071df209d065,2023-08-24 01:00:31.430765,0.0,0.0
3818,1,0,4561,1,False,1692839321,20,5,1,1,1,992da9aa-87a6-4034-a24e-6a749593972f,2023-08-24 01:00:31.430765,0.0,0.0
3819,1,0,3617,1,False,1692839325,2,23,1,1,2,3575749f-123a-4a80-870d-7ca7c7f9c8a9,2023-08-24 01:00:31.430765,0.0,0.0
3820,1,0,3834,1,False,1692839325,8,10,1,1,3,4cfd4097-0aee-4f11-9aea-55f99397bf33,2023-08-24 01:00:31.430765,0.0,0.0
3821,2,0,4901,1,False,1692839325,1,17,1,1,1,b1cdec34-d4f9-4313-be82-729bb9f7bb18,2023-08-24 01:00:31.430765,0.0,0.0
3822,8,0,3112,1,False,1692839325,21,4,1,1,3,66dd1eb2-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3823,0,0,4409,1,False,1692839327,23,7,1,1,0,33af8810-cda5-4b61-9c38-0235f9d59aaa,2023-08-24 01:00:31.430765,0.0,0.0
3824,12,0,434,1,False,1692839327,52,20,1,1,0,66dc11a7-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3825,3,0,1814907277023901890,1,False,1692839327,21,1,1,1,2,1814907277023901890,2023-08-24 01:00:31.430765,0.0,0.0
3826,4,0,5074,1,False,1692839327,39,9,1,1,1,14391923-6727-4359-92e9-03e0b5094753,2023-08-24 01:00:31.430765,0.0,0.0
3827,3,0,4396,1,False,1692839327,7,9,1,1,2,44a43ebf-cacf-4251-9ceb-e1c331ef1673,2023-08-24 01:00:31.430765,0.0,0.0
3828,1,0,5036,1,False,1692839327,11,11,1,1,0,0cb63737-64c9-42a9-9479-280d49ed015a,2023-08-24 01:00:31.430765,0.0,0.0
3829,0,0,3970,1,False,1692839327,19,0,1,1,1,e0a9ed84-55f9-40f5-90fa-87db17d2f933,2023-08-24 01:00:31.430765,0.0,0.0
3830,0,1,3419,1,False,1692839326,47,4,1,1,0,66de602e-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3831,1,8,1815968345907104578,1,False,1692839326,18,1,1,1,8,1815968345907104578,2023-08-24 01:00:31.430765,0.0,0.0
3832,6,0,347,1,False,1692839326,29,45,1,1,0,66dbbeda-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3833,1,1,5043,1,False,1692839326,17,6,1,1,0,b5861c2d-d687-4308-bf2d-5f69fc28cc4a,2023-08-24 01:00:31.430765,0.0,0.0
3834,2,1,4924,1,False,1692839323,0,19,1,1,0,74f913d2-6eac-49ce-bd6d-53a06fa855a6,2023-08-24 01:00:31.430765,0.0,0.0
3835,1,1,3818,1,False,1692839324,27,10,1,1,0,606c7384-75e9-4988-858a-07b88b3a9413,2023-08-24 01:00:31.430765,0.0,0.0
3836,8,0,247,1,False,1692839324,65,2,1,1,12,66db3fc9-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3837,3,1,454,1,False,1692839324,14,15,1,1,2,66dc210e-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3838,0,0,4353,1,False,1692839324,14,5,1,1,1,f3525aa7-9d69-4ea2-9278-4df92db1afa1,2023-08-24 01:00:31.430765,0.0,0.0
3839,3,0,4040,1,False,1692839323,3,69,1,1,1,06109e92-4363-445a-9743-0457f6799530,2023-08-24 01:00:31.430765,0.0,0.0
3840,0,0,3061,1,False,1692839323,13,8,1,1,3,66dcc920-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3841,3,0,4297,1,False,1692839323,39,4,1,1,5,7e70b65e-00c1-40d5-984d-17232a4ee05e,2023-08-24 01:00:31.430765,0.0,0.0
3842,1,0,3591,1,False,1692839323,16,4,1,1,1,2ec1235f-a043-4e3a-9ba1-56f7dd4624b7,2023-08-24 01:00:31.430765,0.0,0.0
3843,1,1,3352,1,False,1692839323,19,0,1,1,2,66de18d7-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3844,3,1,4983,1,False,1692839323,2,14,1,1,0,2fe3e166-2d2f-41c8-b522-fdf8ee3ae16f,2023-08-24 01:00:31.430765,0.0,0.0
3845,4,0,4348,1,False,1692839320,5,18,1,1,5,340036c3-2787-4998-9a77-fe54f352d619,2023-08-24 01:00:31.430765,0.0,0.0
3846,0,0,4598,1,False,1692839320,44,9,1,1,2,f8c1c90f-4ec0-44bd-b097-cfafc887744d,2023-08-24 01:00:31.430765,0.0,0.0
3847,0,0,3880,1,False,1692839319,0,27,1,1,0,ee1ba75f-baf5-4852-929c-8b7ad310f55a,2023-08-24 01:00:31.430765,,
3848,0,0,3691,1,False,1692839263,5,12,1,1,0,00284700-9d22-42ce-8485-113fed9879c1,2023-08-24 01:00:31.430765,0.0,0.0
3849,1,1,3107,1,False,1692839257,32,10,1,1,1,66dd1bf3-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3850,3,0,3397,1,False,1692839258,28,2,1,1,3,66de4b0b-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3851,0,0,4899,1,False,1692839258,4,15,1,1,1,82b97827-1801-4b7b-b3de-16447a8dd025,2023-08-24 01:00:31.430765,0.0,0.0
3852,1,0,4132,1,False,1692839256,15,2,1,1,4,971cddfa-695e-4b44-ba8b-26154ab4a83b,2023-08-24 01:00:31.430765,0.0,0.0
3853,1,0,4229,1,False,1692839256,8,14,1,1,1,cb4926e6-0a79-4902-80ee-d365fbf42aec,2023-08-24 01:00:31.430765,0.0,0.0
3854,0,1,4757,1,False,1692839257,16,4,1,1,1,57f144cb-375d-4eee-b458-e288116cb8f7,2023-08-24 01:00:31.430765,0.0,0.0
3855,1,2,4794,1,False,1692839261,8,10,1,1,0,4fb1ee23-4511-47c4-8698-0c46673dc86c,2023-08-24 01:00:31.430765,0.0,0.0
3856,2,0,258,1,False,1692839261,16,5,1,1,2,66db43b5-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3857,2,0,3924,1,False,1692839261,8,16,1,1,0,11a8d465-b4eb-466b-a6ca-055f73994231,2023-08-24 01:00:31.430765,0.0,0.0
3858,1,0,3309,1,False,1692839255,7,19,1,1,2,66ddebce-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3859,4,0,4636,1,False,1692839260,10,6,1,1,3,bdc116cd-4d63-4693-846c-ec5073314007,2023-08-24 01:00:31.430765,0.0,0.0
3860,4,0,4434,1,False,1692839264,4,20,1,1,4,c829b6af-002b-4d04-af56-6924d4ad0aa2,2023-08-24 01:00:31.430765,0.0,0.0
3861,2,0,4271,1,False,1692839264,17,2,1,1,2,ce700c09-6095-4b20-ab65-07defdd1a7d7,2023-08-24 01:00:31.430765,0.0,0.0
3862,1,0,4316,1,False,1692839262,14,9,1,1,3,5a6218aa-c5b7-4436-93c1-dee7cb5322d9,2023-08-24 01:00:31.430765,0.0,0.0
3863,0,0,4812,1,False,1692839262,8,16,1,1,2,266c8621-fdea-4a7e-9d35-18ca1684d526,2023-08-24 01:00:31.430765,0.0,0.0
3864,0,0,4170,1,False,1692839262,18,1,1,1,1,ab29ce96-c2e8-4929-b27b-e0fe4aae17d5,2023-08-24 01:00:31.430765,0.0,0.0
3865,3,0,3317,1,False,1692839258,19,1,1,1,1,66ddef2d-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3866,4,0,4982,1,False,1692839259,49,5,1,1,0,3d835eaa-a102-42c5-b6c0-2c693b1d0677,2023-08-24 01:00:31.430765,0.0,0.0
