,num_docks_available,is_returning,is_renting,num_ebikes_available,num_docks_disabled,num_bikes_available,legacy_id,num_bikes_disabled,station_id,station_status,last_reported,eightd_has_available_keys,is_installed,last_update
191,73,1,1,2,0,11,469,0,469,active,1671926664,False,1,2022-12-25 01:15:43.835963
192,2,1,1,9,0,80,470,2,470,active,1671922959,False,1,2022-12-25 01:15:43.835963
193,4,1,1,4,0,25,471,2,471,active,1671924658,False,1,2022-12-25 01:15:43.835963
194,51,1,1,1,0,2,472,1,472,active,1671925250,False,1,2022-12-25 01:15:43.835963
195,4,1,1,7,0,55,473,3,473,active,1671928914,False,1,2022-12-25 01:15:43.835963
196,5,1,1,11,0,48,474,1,474,active,1671922728,False,1,2022-12-25 01:15:43.835963
197,55,1,1,2,0,8,476,1,476,active,1671924969,False,1,2022-12-25 01:15:43.835963
198,14,1,1,23,4,42,477,2,477,active,1671928915,False,1,2022-12-25 01:15:43.835963
199,43,1,1,2,0,8,478,3,478,active,1671930398,False,1,2022-12-25 01:15:43.835963
200,15,1,1,2,0,12,479,3,479,active,1671925879,False,1,2022-12-25 01:15:43.835963
201,10,1,1,5,0,13,480,5,480,active,1671930349,False,1,2022-12-25 01:15:43.835963
202,18,1,1,1,0,5,481,2,481,active,1671926529,False,1,2022-12-25 01:15:43.835963
203,1,1,1,1,0,73,482,4,482,active,1671930370,False,1,2022-12-25 01:15:43.835963
204,7,1,1,3,0,61,483,0,483,active,1671923554,False,1,2022-12-25 01:15:43.835963
205,22,1,1,12,0,42,484,1,484,active,1671929824,False,1,2022-12-25 01:15:43.835963
206,28,1,1,4,0,10,485,0,485,active,1671917282,False,1,2022-12-25 01:15:43.835963
207,9,1,1,17,0,26,486,3,486,active,1671929389,False,1,2022-12-25 01:15:43.835963
208,31,1,1,1,0,37,489,0,489,active,1671929876,False,1,2022-12-25 01:15:43.835963
209,6,1,1,42,0,83,490,1,490,active,1671930286,False,1,2022-12-25 01:15:43.835963
210,14,1,1,0,0,49,494,3,494,active,1671929780,False,1,2022-12-25 01:15:43.835963
211,35,1,1,3,0,4,495,0,495,active,1671928536,False,1,2022-12-25 01:15:43.835963
212,4,1,1,5,0,54,496,5,496,active,1671925227,False,1,2022-12-25 01:15:43.835963
213,4,1,1,4,0,56,497,4,497,active,1671929971,False,1,2022-12-25 01:15:43.835963
214,56,1,1,3,0,20,500,1,500,active,1671929891,False,1,2022-12-25 01:15:43.835963
215,51,1,1,1,0,26,501,3,501,active,1671920484,False,1,2022-12-25 01:15:43.835963
216,21,1,1,1,0,11,502,3,502,active,1671930450,False,1,2022-12-25 01:15:43.835963
217,6,1,1,1,0,38,503,0,503,active,1671928300,False,1,2022-12-25 01:15:43.835963
218,26,1,1,1,0,27,504,1,504,active,1671931117,False,1,2022-12-25 01:15:43.835963
219,2,1,1,7,0,46,505,3,505,active,1671929261,False,1,2022-12-25 01:15:43.835963
220,61,1,1,1,0,14,507,3,507,active,1671928002,False,1,2022-12-25 01:15:43.835963
221,11,1,1,0,0,7,508,4,508,active,1671924388,False,1,2022-12-25 01:15:43.835963
222,2,1,1,3,0,47,509,9,509,active,1671930972,False,1,2022-12-25 01:15:43.835963
223,21,1,1,17,0,55,510,1,510,active,1671927359,False,1,2022-12-25 01:15:43.835963
224,26,1,1,2,0,13,511,0,511,active,1671930380,False,1,2022-12-25 01:15:43.835963
225,9,1,1,3,0,18,512,1,512,active,1671920814,False,1,2022-12-25 01:15:43.835963
226,39,1,1,0,0,4,513,0,513,active,1671929495,False,1,2022-12-25 01:15:43.835963
227,6,1,1,27,0,39,514,2,514,active,1671923459,False,1,2022-12-25 01:15:43.835963
228,60,1,1,5,0,15,515,2,515,active,1671928758,False,1,2022-12-25 01:15:43.835963
229,32,1,1,0,0,16,516,0,516,active,1671926368,False,1,2022-12-25 01:15:43.835963
230,53,1,1,12,0,20,522,1,522,active,1671926171,False,1,2022-12-25 01:15:43.835963
231,5,1,1,11,0,49,525,2,525,active,1671927192,False,1,2022-12-25 01:15:43.835963
232,15,1,1,9,0,19,526,3,526,active,1671927564,False,1,2022-12-25 01:15:43.835963
233,26,1,1,3,0,9,528,2,528,active,1671930935,False,1,2022-12-25 01:15:43.835963
234,23,1,1,6,0,14,529,3,529,active,1671930191,False,1,2022-12-25 01:15:43.835963
235,19,1,1,0,0,3,530,1,530,active,1671923708,False,1,2022-12-25 01:15:43.835963
236,13,1,1,12,0,50,531,2,531,active,1671930422,False,1,2022-12-25 01:15:43.835963
237,17,1,1,0,0,21,532,4,532,active,1671925083,False,1,2022-12-25 01:15:43.835963
238,23,1,1,2,0,3,536,2,536,active,1671930447,False,1,2022-12-25 01:15:43.835963
239,41,1,1,0,0,34,537,3,537,active,1671928430,False,1,2022-12-25 01:15:43.835963
240,1,1,1,5,0,26,539,4,539,active,1671927110,False,1,2022-12-25 01:15:43.835963
241,41,1,1,1,0,13,540,0,540,active,1671928665,False,1,2022-12-25 01:15:43.835963
242,18,1,1,2,0,8,545,1,545,active,1671928024,False,1,2022-12-25 01:15:43.835963
243,32,1,1,1,0,10,546,3,546,active,1671930637,False,1,2022-12-25 01:15:43.835963
244,5,1,1,1,0,49,2002,3,2002,active,1671930254,False,1,2022-12-25 01:15:43.835963
245,38,1,1,0,0,13,2003,2,2003,active,1671930562,False,1,2022-12-25 01:15:43.835963
246,24,1,1,18,0,48,2006,0,2006,active,1671927956,False,1,2022-12-25 01:15:43.835963
247,1,1,1,3,0,32,2008,1,2008,active,1671930457,False,1,2022-12-25 01:15:43.835963
248,5,1,1,0,0,26,2009,3,2009,active,1671925486,False,1,2022-12-25 01:15:43.835963
249,1,1,1,4,0,38,2010,2,2010,active,1671927734,False,1,2022-12-25 01:15:43.835963
250,46,1,1,0,0,11,2012,1,2012,active,1671929610,False,1,2022-12-25 01:15:43.835963
251,46,1,1,1,0,1,2017,4,2017,active,1671924333,False,1,2022-12-25 01:15:43.835963
252,52,1,1,0,0,6,2021,5,2021,active,1671929368,False,1,2022-12-25 01:15:43.835963
253,19,1,1,1,0,12,2022,2,2022,active,1671926547,False,1,2022-12-25 01:15:43.835963
254,0,1,1,0,1,0,3016,52,3016,active,1671930935,False,1,2022-12-25 01:15:43.835963
255,22,1,1,0,0,2,3041,0,3041,active,1671907494,False,1,2022-12-25 01:15:43.835963
256,17,1,1,1,0,1,3042,1,3042,active,1671924563,False,1,2022-12-25 01:15:43.835963
257,10,1,1,0,0,5,3043,3,3043,active,1671896056,False,1,2022-12-25 01:15:43.835963
258,20,1,1,2,0,5,3044,0,3044,active,1671926608,False,1,2022-12-25 01:15:43.835963
259,10,1,1,3,0,9,3046,0,3046,active,1671921716,False,1,2022-12-25 01:15:43.835963
260,7,1,1,1,0,13,3047,1,3047,active,1671925341,False,1,2022-12-25 01:15:43.835963
261,0,0,0,0,0,0,3048,0,3048,out_of_service,86400,False,0,2022-12-25 01:15:43.835963
262,14,1,1,1,0,3,3049,1,3049,active,1671929560,False,1,2022-12-25 01:15:43.835963
263,19,1,1,1,0,2,3050,0,3050,active,1671927016,False,1,2022-12-25 01:15:43.835963
264,10,1,1,0,0,10,3052,1,3052,active,1671915126,False,1,2022-12-25 01:15:43.835963
265,17,1,1,0,0,2,3053,2,3053,active,1671928940,False,1,2022-12-25 01:15:43.835963
266,17,1,1,0,0,1,3054,1,3054,active,1671915684,False,1,2022-12-25 01:15:43.835963
267,17,1,1,3,0,4,3055,0,3055,active,1671925049,False,1,2022-12-25 01:15:43.835963
268,21,1,1,0,0,0,3056,2,3056,active,1671918166,False,1,2022-12-25 01:15:43.835963
269,14,1,1,0,0,2,3057,1,3057,active,1671930779,False,1,2022-12-25 01:15:43.835963
270,2,1,1,6,0,16,3058,0,3058,active,1671929581,False,1,2022-12-25 01:15:43.835963
271,18,1,1,1,0,1,3059,0,3059,active,1671926148,False,1,2022-12-25 01:15:43.835963
272,19,1,1,0,0,0,3060,0,3060,active,1671902243,False,1,2022-12-25 01:15:43.835963
273,21,1,1,0,0,0,3061,0,3061,active,1671899552,False,1,2022-12-25 01:15:43.835963
274,5,1,1,8,0,16,3062,2,3062,active,1671923609,False,1,2022-12-25 01:15:43.835963
275,11,1,1,1,0,8,3063,1,3063,active,1671926681,False,1,2022-12-25 01:15:43.835963
276,9,1,1,1,0,11,3064,3,3064,active,1671929317,False,1,2022-12-25 01:15:43.835963
277,2,1,1,1,0,27,3065,1,3065,active,1671918638,False,1,2022-12-25 01:15:43.835963
