,num_docks_available,is_renting,is_returning,legacy_id,num_ebikes_available,station_id,num_docks_disabled,num_bikes_disabled,last_reported,eightd_has_available_keys,is_installed,num_bikes_available,last_update,num_scooters_unavailable,num_scooters_available
1037,32,1,1,386,0,66dbe848-0aca-11e7-82f6-3863bb44ef7c,2,7,1692666535,False,1,39,2023-08-22 01:00:22.295629,0.0,0.0
1038,13,1,1,3501,1,d3f51f51-7e51-4c75-8600-d76916608707,0,8,1692666536,False,1,8,2023-08-22 01:00:22.295629,0.0,0.0
1039,1,1,1,265,3,66db4671-0aca-11e7-82f6-3863bb44ef7c,0,1,1692666536,False,1,45,2023-08-22 01:00:22.295629,0.0,0.0
1040,16,1,1,4008,1,9c1c3499-1b11-471f-b59a-87d9e27e15c5,0,4,1692666536,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
1041,0,1,1,3934,1,648e09b6-95c2-40d3-9dac-a43f22eccf38,0,2,1692666538,False,1,25,2023-08-22 01:00:22.295629,0.0,0.0
1042,27,1,1,387,0,66dbe8d6-0aca-11e7-82f6-3863bb44ef7c,0,6,1692666538,False,1,23,2023-08-22 01:00:22.295629,0.0,0.0
1043,15,1,1,385,2,66dbe7b6-0aca-11e7-82f6-3863bb44ef7c,1,4,1692666538,False,1,9,2023-08-22 01:00:22.295629,0.0,0.0
1044,16,1,1,3058,4,66dcc5ca-0aca-11e7-82f6-3863bb44ef7c,0,1,1692666538,False,1,8,2023-08-22 01:00:22.295629,0.0,0.0
1045,10,1,1,323,0,66db88f5-0aca-11e7-82f6-3863bb44ef7c,0,3,1692666539,False,1,23,2023-08-22 01:00:22.295629,0.0,0.0
1046,18,1,1,4270,0,bbaae5d3-7e2b-46a8-872e-152404c664f7,0,1,1692666539,False,1,7,2023-08-22 01:00:22.295629,0.0,0.0
1047,10,1,1,3614,1,fe93b3ae-1d86-4ee9-9eb6-9e11808966aa,1,2,1692666535,False,1,10,2023-08-22 01:00:22.295629,0.0,0.0
1048,11,1,1,1828968794479100296,0,1828968794479100296,0,2,1692666535,False,1,6,2023-08-22 01:00:22.295629,0.0,0.0
1049,3,1,1,3738,0,8ea09819-cd88-4732-b047-c0549f0b370f,0,0,1692666535,False,1,28,2023-08-22 01:00:22.295629,0.0,0.0
1050,2,1,1,4369,0,36b55a0f-e55d-4849-859a-09b3273fb782,0,2,1692666539,False,1,20,2023-08-22 01:00:22.295629,0.0,0.0
1051,19,1,1,4113,0,461b4f37-c980-4e50-9c92-a6125ce52881,0,2,1692666539,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
1052,3,1,1,4600,5,724aeecc-8c91-4afc-b97c-72a98de452c9,0,0,1692666540,False,1,18,2023-08-22 01:00:22.295629,0.0,0.0
1053,6,1,1,1815968147129520346,2,1815968147129520346,1,0,1692666533,False,1,15,2023-08-22 01:00:22.295629,0.0,0.0
1054,28,1,1,3572,0,548cb08c-4ec1-46d9-8978-1a8d3bf42454,1,2,1692666534,False,1,2,2023-08-22 01:00:22.295629,0.0,0.0
1055,46,1,1,442,1,66dc18c2-0aca-11e7-82f6-3863bb44ef7c,0,2,1692666534,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
1056,35,1,1,3799,1,547cdccc-7864-4898-97c9-8798d924ef54,1,7,1692666537,False,1,22,2023-08-22 01:00:22.295629,0.0,0.0
1057,20,1,1,4756,0,122111c9-9a61-4372-a756-fb2495611cb6,0,0,1692666537,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
1058,19,1,1,4638,0,d9ea5210-50b3-4342-9801-f896bd21f4a1,0,4,1692666537,False,1,0,2023-08-22 01:00:22.295629,0.0,0.0
1059,15,1,1,4608,1,b4063b76-1abd-465c-96a4-45f6ee016bc5,1,2,1692666538,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
1060,8,1,1,3768,2,bfbd1f09-afd2-49d2-8674-3a07b3c929a4,0,0,1692666538,False,1,15,2023-08-22 01:00:22.295629,0.0,0.0
1061,16,1,1,4954,0,901cab1a-a77e-424e-b602-16883e792f93,0,1,1692666533,False,1,2,2023-08-22 01:00:22.295629,0.0,0.0
1062,3,1,1,3456,0,66dea674-0aca-11e7-82f6-3863bb44ef7c,0,1,1692666533,False,1,15,2023-08-22 01:00:22.295629,0.0,0.0
1063,18,1,1,4783,0,dfad8e49-7e1b-4376-90b4-7a449319f294,0,0,1692666539,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
1064,2,1,1,1815968026870435892,2,1815968026870435892,0,0,1692666539,False,1,20,2023-08-22 01:00:22.295629,0.0,0.0
1065,20,1,1,4613,0,41f2113f-13f3-48b3-9919-179df29011b2,0,2,1692666545,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
1066,1,1,1,3564,2,b94d0241-bce7-44a9-ab1c-ece0740a4134,0,1,1692666545,False,1,17,2023-08-22 01:00:22.295629,0.0,0.0
1067,19,1,1,3745,1,59ad8f95-32a4-43de-b1c3-79c667b2d2df,0,2,1692666545,False,1,6,2023-08-22 01:00:22.295629,0.0,0.0
1068,4,1,1,3071,0,66dce5c9-0aca-11e7-82f6-3863bb44ef7c,0,0,1692666545,False,1,13,2023-08-22 01:00:22.295629,0.0,0.0
1069,9,1,1,4260,2,d7bdc3d7-6e6d-4899-9cc7-f4238a86c695,0,1,1692666540,False,1,13,2023-08-22 01:00:22.295629,0.0,0.0
1070,15,1,1,3532,3,550153a5-2ea1-4c76-b1cd-77667005f55d,0,1,1692666541,False,1,11,2023-08-22 01:00:22.295629,0.0,0.0
1071,23,1,1,4110,1,a0eec052-257a-4c79-8171-6e2ad9864ad0,1,2,1692666541,False,1,4,2023-08-22 01:00:22.295629,0.0,0.0
1072,5,1,1,4695,1,063e7e78-b810-4a2f-8045-a82a0d69d752,0,5,1692666541,False,1,21,2023-08-22 01:00:22.295629,0.0,0.0
1073,9,1,1,4263,4,2743a950-3a1f-4a58-8fe0-f4105033e0e3,2,3,1692666541,False,1,9,2023-08-22 01:00:22.295629,0.0,0.0
1074,30,1,1,3162,1,66dd4b91-0aca-11e7-82f6-3863bb44ef7c,0,5,1692666543,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
1075,13,1,1,4894,2,96878d29-481d-48dc-bcdc-a5f1ce88c76d,0,1,1692666544,False,1,6,2023-08-22 01:00:22.295629,0.0,0.0
1076,4,1,1,4708,0,9e5fd5b6-c5f2-4694-9406-a44b7d0146d9,0,3,1692666544,False,1,29,2023-08-22 01:00:22.295629,0.0,0.0
1077,14,1,1,1791472779085971670,0,1791472779085971670,0,1,1692666544,False,1,4,2023-08-22 01:00:22.295629,0.0,0.0
