,is_installed,is_renting,num_ebikes_available,num_docks_disabled,num_docks_available,num_bikes_disabled,is_returning,eightd_has_available_keys,legacy_id,last_reported,num_bikes_available,station_id,last_update,num_scooters_available,num_scooters_unavailable
31,1,1,0,0,16,5,1,False,4102,1691284402,0,abc1311e-e000-4211-af9e-0cf92242711e,2023-08-06 01:15:07.661245,0.0,0.0
32,1,1,0,0,4,1,1,False,4482,1691284402,27,33840944-aa92-4d91-9de8-d29e5cd0b2d9,2023-08-06 01:15:07.661245,0.0,0.0
33,1,1,5,0,0,0,1,False,307,1691284406,45,66db6f2e-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,0.0,0.0
34,1,1,0,0,2,2,1,False,4821,1691284407,22,f5393bc2-36d4-4508-bf51-fa48d121f751,2023-08-06 01:15:07.661245,0.0,0.0
35,1,1,1,0,5,2,1,False,4169,1691284400,14,b4b5824b-3c23-44b7-92a3-cec6a54583a0,2023-08-06 01:15:07.661245,0.0,0.0
36,0,0,0,0,0,0,0,False,4820,1690294244,0,7f4753d7-8d58-48bd-a881-de5bff08b27d,2023-08-06 01:15:07.661245,,
37,1,1,3,0,2,2,1,False,3860,1691284401,22,f401cd5f-cb41-41f8-a857-4a4dfe778f94,2023-08-06 01:15:07.661245,0.0,0.0
38,1,1,1,0,14,2,1,False,4688,1691284401,26,c1a4d909-0a00-475a-8e82-18ed13a4eb01,2023-08-06 01:15:07.661245,0.0,0.0
39,1,1,1,0,17,1,1,False,4127,1691284399,1,595cf79f-7783-4373-b3d5-775bcf76033b,2023-08-06 01:15:07.661245,0.0,0.0
40,1,1,1,0,9,5,1,False,4493,1691284399,4,f9ed9a6b-097e-48b9-a9d1-79d084dcd2d9,2023-08-06 01:15:07.661245,0.0,0.0
41,1,1,0,0,15,4,1,False,4147,1691284414,0,6476c5fd-611e-436c-9736-e0f43bb7774e,2023-08-06 01:15:07.661245,0.0,0.0
42,0,0,0,0,0,0,0,False,4168,1689775581,0,1d3a8670-09b3-4127-b750-af5311e565f0,2023-08-06 01:15:07.661245,,
43,0,0,0,0,0,0,0,False,4313,1689258074,0,37a37e5b-f975-4f92-a897-dca8e4670631,2023-08-06 01:15:07.661245,,
44,1,1,3,0,10,2,1,False,4626,1691284408,8,47da6ab2-c841-4f2d-97ef-dd8d441c96b1,2023-08-06 01:15:07.661245,0.0,0.0
45,1,1,0,0,36,1,1,False,3712,1691284408,3,a47f77a2-9008-4652-a4f1-b95eee723a1b,2023-08-06 01:15:07.661245,0.0,0.0
46,1,1,0,11,30,1,1,False,3376,1691284415,1,66de2707-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,0.0,0.0
47,1,1,1,0,11,2,1,False,4012,1691284415,10,3134c2d4-b090-4eb8-ab44-6f9622098f72,2023-08-06 01:15:07.661245,0.0,0.0
48,1,0,0,0,3,0,0,False,4748,1689772144,0,c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,2023-08-06 01:15:07.661245,,
49,1,1,1,0,27,4,1,False,3296,1691284408,41,66dde630-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,0.0,0.0
50,1,1,0,0,15,2,1,False,1815968237323833702,1691284413,4,1815968237323833702,2023-08-06 01:15:07.661245,0.0,0.0
51,1,1,0,0,19,0,1,False,4153,1691284413,7,9af90faf-0b9b-451b-9cb0-20ff421ca1d9,2023-08-06 01:15:07.661245,0.0,0.0
52,1,1,1,0,4,3,1,False,4457,1691284413,12,579e583e-60ab-4f2a-83d0-fabebddfcd0f,2023-08-06 01:15:07.661245,0.0,0.0
53,1,1,1,0,1,2,1,False,3340,1691284410,18,66de11bc-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,0.0,0.0
54,1,1,0,0,6,1,1,False,4801,1691284410,16,26b3a82b-3487-44c2-85f1-eddb5a8a3a9d,2023-08-06 01:15:07.661245,0.0,0.0
55,1,1,0,0,14,2,1,False,3833,1691284422,2,bcb08532-f0d5-4c0e-ad8a-4ddacc204791,2023-08-06 01:15:07.661245,0.0,0.0
56,1,1,4,0,0,4,1,False,1786698321265653818,1691284421,36,1786698321265653818,2023-08-06 01:15:07.661245,0.0,0.0
57,1,1,1,0,57,0,1,False,152,1691284418,14,66db3053-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,0.0,0.0
58,1,1,2,0,5,3,1,False,4603,1691284416,11,754ac5df-f2b5-4636-8c58-ed84ea262bde,2023-08-06 01:15:07.661245,0.0,0.0
59,1,1,0,0,22,5,1,False,4303,1691284416,5,0f98907a-d4cc-45e0-b174-7d9dfda74106,2023-08-06 01:15:07.661245,0.0,0.0
