,station_status,num_bikes_available,num_bikes_disabled,num_docks_disabled,is_returning,is_renting,legacy_id,num_ebikes_available,station_id,eightd_has_available_keys,last_reported,is_installed,num_docks_available,last_update
252,active,40,2,0,1,1,2021,8,2021,False,1670721459,1,22,2022-12-11 01:15:22.608583
253,active,10,0,0,1,1,2022,3,2022,False,1670721570,1,21,2022-12-11 01:15:22.608583
254,active,43,4,1,1,1,3016,0,3016,False,1670720977,1,5,2022-12-11 01:15:22.608583
255,active,0,1,0,1,1,3041,0,3041,False,1670721264,1,23,2022-12-11 01:15:22.608583
256,active,2,1,0,1,1,3042,1,3042,False,1670717086,1,15,2022-12-11 01:15:22.608583
257,active,6,2,0,1,1,3043,1,3043,False,1670719402,1,9,2022-12-11 01:15:22.608583
258,active,7,0,0,1,1,3044,1,3044,False,1670719414,1,20,2022-12-11 01:15:22.608583
259,active,2,1,0,1,1,3046,0,3046,False,1670720362,1,16,2022-12-11 01:15:22.608583
260,active,5,1,0,1,1,3047,2,3047,False,1670717284,1,14,2022-12-11 01:15:22.608583
261,out_of_service,0,0,0,0,0,3048,0,3048,False,86400,0,0,2022-12-11 01:15:22.608583
262,active,5,1,0,1,1,3049,3,3049,False,1670721510,1,12,2022-12-11 01:15:22.608583
263,active,3,1,0,1,1,3050,1,3050,False,1670720591,1,17,2022-12-11 01:15:22.608583
264,active,2,2,0,1,1,3052,0,3052,False,1670721214,1,19,2022-12-11 01:15:22.608583
265,active,3,3,0,1,1,3053,3,3053,False,1670720352,1,17,2022-12-11 01:15:22.608583
266,active,3,1,0,1,1,3054,1,3054,False,1670721901,1,15,2022-12-11 01:15:22.608583
267,active,0,1,0,1,1,3055,0,3055,False,1670721715,1,21,2022-12-11 01:15:22.608583
268,active,6,3,0,1,1,3056,4,3056,False,1670721782,1,13,2022-12-11 01:15:22.608583
269,active,0,0,0,1,1,3057,0,3057,False,1670720555,1,18,2022-12-11 01:15:22.608583
270,active,6,4,3,1,1,3058,4,3058,False,1670719576,1,11,2022-12-11 01:15:22.608583
271,active,5,1,0,1,1,3059,4,3059,False,1670721623,1,13,2022-12-11 01:15:22.608583
272,active,3,1,0,1,1,3060,0,3060,False,1670721468,1,13,2022-12-11 01:15:22.608583
273,active,2,0,0,1,1,3061,2,3061,False,1670721910,1,19,2022-12-11 01:15:22.608583
274,active,6,1,0,1,1,3062,0,3062,False,1670721003,1,14,2022-12-11 01:15:22.608583
275,active,16,1,0,1,1,3063,4,3063,False,1670718959,1,3,2022-12-11 01:15:22.608583
276,active,4,2,0,1,1,3064,0,3064,False,1670721550,1,16,2022-12-11 01:15:22.608583
277,active,18,0,0,1,1,3065,3,3065,False,1670721280,1,13,2022-12-11 01:15:22.608583
278,out_of_service,0,0,0,0,0,3066,0,3066,False,86400,0,0,2022-12-11 01:15:22.608583
279,active,18,1,0,1,1,3067,2,3067,False,1670721219,1,8,2022-12-11 01:15:22.608583
280,active,16,1,0,1,1,3068,0,3068,False,1670710878,1,25,2022-12-11 01:15:22.608583
281,active,11,2,0,1,1,3069,0,3069,False,1670717523,1,16,2022-12-11 01:15:22.608583
282,active,4,1,1,1,1,3070,0,3070,False,1670720032,1,17,2022-12-11 01:15:22.608583
283,active,2,0,0,1,1,3071,0,3071,False,1670721571,1,17,2022-12-11 01:15:22.608583
284,active,15,0,0,1,1,3072,3,3072,False,1670719716,1,9,2022-12-11 01:15:22.608583
285,active,25,2,0,1,1,3074,7,3074,False,1670721481,1,14,2022-12-11 01:15:22.608583
286,active,3,1,0,1,1,3075,3,3075,False,1670721760,1,28,2022-12-11 01:15:22.608583
287,active,6,0,0,1,1,3076,6,3076,False,1670720507,1,30,2022-12-11 01:15:22.608583
288,active,7,1,0,1,1,3077,0,3077,False,1670721732,1,25,2022-12-11 01:15:22.608583
