,station_status,num_bikes_disabled,eightd_has_available_keys,is_installed,last_reported,num_ebikes_available,num_docks_disabled,num_docks_available,station_id,legacy_id,num_bikes_available,is_returning,is_renting,last_update
1049,active,0,False,1,1670795508,1,0,17,4104,4104,3,1,1,2022-12-12 01:15:35.023287
1050,active,1,False,1,1670805657,0,0,19,4105,4105,1,1,1,2022-12-12 01:15:35.023287
1051,active,1,False,1,1670780390,0,0,17,4106,4106,0,1,1,2022-12-12 01:15:35.023287
1052,active,0,False,1,1670765275,0,0,16,4107,4107,8,1,1,2022-12-12 01:15:35.023287
1053,active,0,False,1,1670797687,0,0,16,4108,4108,3,1,1,2022-12-12 01:15:35.023287
1054,active,0,False,1,1670792600,1,0,19,4109,4109,2,1,1,2022-12-12 01:15:35.023287
1055,active,0,False,1,1670801621,1,0,27,4110,4110,3,1,1,2022-12-12 01:15:35.023287
1056,active,0,False,1,1670807129,6,0,39,4111,4111,30,1,1,2022-12-12 01:15:35.023287
1057,active,0,False,1,1670804775,5,0,4,4112,4112,14,1,1,2022-12-12 01:15:35.023287
1058,active,0,False,1,1670798930,3,0,2,4113,4113,20,1,1,2022-12-12 01:15:35.023287
1059,active,0,False,1,1670789880,7,0,1,4114,4114,24,1,1,2022-12-12 01:15:35.023287
1060,active,0,False,1,1670783052,11,0,2,4115,4115,22,1,1,2022-12-12 01:15:35.023287
1061,active,0,False,1,1670793576,1,0,4,4116,4116,14,1,1,2022-12-12 01:15:35.023287
1062,active,0,False,1,1670791564,1,0,12,4117,4117,15,1,1,2022-12-12 01:15:35.023287
1063,active,0,False,1,1670806745,4,0,38,4120,4120,5,1,1,2022-12-12 01:15:35.023287
1064,active,2,False,1,1670806598,2,0,17,4121,4121,33,1,1,2022-12-12 01:15:35.023287
1065,active,3,False,1,1670807984,3,2,43,4122,4122,5,1,1,2022-12-12 01:15:35.023287
1066,active,0,False,1,1670806075,2,0,37,4123,4123,3,1,1,2022-12-12 01:15:35.023287
1067,active,2,False,1,1670804493,2,0,38,4124,4124,7,1,1,2022-12-12 01:15:35.023287
1068,active,1,False,1,1670800222,6,0,0,4125,4125,36,1,1,2022-12-12 01:15:35.023287
1069,active,1,False,1,1670807762,2,0,0,4126,4126,17,1,1,2022-12-12 01:15:35.023287
1070,active,0,False,1,1670792991,2,0,4,4127,4127,15,1,1,2022-12-12 01:15:35.023287
