,is_returning,legacy_id,num_bikes_disabled,num_docks_available,num_docks_disabled,station_status,is_renting,num_ebikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,num_bikes_available,last_update,num_scooters_unavailable,num_scooters_available
15,0,5076,0,0,0,out_of_service,0,0,0,1689176220,6ab6fcb6-f8b1-466f-b545-69f544861158,False,0,2023-08-03 01:15:09.494449,,
16,1,3936,3,1,0,active,1,2,1,1691025469,22ab59a8-0af4-4101-9350-a7af88e37c2e,False,15,2023-08-03 01:15:09.494449,0.0,0.0
17,1,4112,3,2,0,active,1,9,1,1691025473,655ad2f2-6bcc-4eee-95a9-4f528c0b81cd,False,13,2023-08-03 01:15:09.494449,0.0,0.0
18,1,4184,2,14,0,active,1,1,1,1691025473,82c85f05-4722-48ae-9f64-0522012eb3c8,False,11,2023-08-03 01:15:09.494449,0.0,0.0
19,1,4047,2,22,0,active,1,0,1,1691025472,26217b73-7bb5-46e6-8094-1db05becd617,False,3,2023-08-03 01:15:09.494449,0.0,0.0
20,1,4094,6,11,0,active,1,3,1,1691025474,38af3d1a-9916-46cf-b22e-86fc8648bf30,False,3,2023-08-03 01:15:09.494449,0.0,0.0
21,1,1835618878584115330,1,21,0,active,1,1,1,1691025474,1835618878584115330,False,3,2023-08-03 01:15:09.494449,0.0,0.0
22,1,3373,2,0,0,active,1,1,1,1691025468,66de25bd-0aca-11e7-82f6-3863bb44ef7c,False,76,2023-08-03 01:15:09.494449,0.0,0.0
23,1,4131,2,2,0,active,1,0,1,1691025477,cc5f0e68-dd5f-4db1-81c7-04a4d6674fba,False,15,2023-08-03 01:15:09.494449,0.0,0.0
24,1,1817432434869846072,3,0,0,active,1,7,1,1691025478,1817432434869846072,False,20,2023-08-03 01:15:09.494449,0.0,0.0
25,1,3709,3,0,65,active,1,4,1,1691025479,09dfc0e3-a448-477c-bb3c-9467dc51ef8d,False,5,2023-08-03 01:15:09.494449,0.0,0.0
26,1,127,7,14,0,active,1,2,1,1691025484,66db2a71-0aca-11e7-82f6-3863bb44ef7c,False,23,2023-08-03 01:15:09.494449,0.0,0.0
27,1,4052,11,15,0,active,1,0,1,1691025484,bc9c9006-3d40-400d-8b5c-17f56e6dfcee,False,1,2023-08-03 01:15:09.494449,0.0,0.0
28,1,4296,0,4,0,active,1,1,1,1691025484,f34ea09d-32f9-492c-9124-99059bc0b5dd,False,17,2023-08-03 01:15:09.494449,0.0,0.0
29,1,4142,3,5,0,active,1,6,1,1691025480,1f088432-0460-421e-a1d9-36890fa5396d,False,10,2023-08-03 01:15:09.494449,0.0,0.0
30,1,3542,3,24,0,active,1,0,1,1691025481,1b00fb53-da32-4b14-9a9a-84a391c8951c,False,1,2023-08-03 01:15:09.494449,0.0,0.0
31,1,4832,0,8,0,active,1,5,1,1691025483,fbaffdbd-dab5-4127-9bd5-36bf58093ea8,False,16,2023-08-03 01:15:09.494449,0.0,0.0
32,1,4169,1,5,0,active,1,2,1,1691025485,b4b5824b-3c23-44b7-92a3-cec6a54583a0,False,15,2023-08-03 01:15:09.494449,0.0,0.0
33,1,3765,0,16,0,active,1,1,1,1691025485,e35c42c6-8b73-4528-b08d-c94b75624b40,False,5,2023-08-03 01:15:09.494449,0.0,0.0
34,1,4084,5,9,0,active,1,1,1,1691025490,545a32d3-b74c-4dc2-b82c-a6d185dd4666,False,8,2023-08-03 01:15:09.494449,0.0,0.0
35,1,383,2,4,0,active,1,8,1,1691025490,66dbe68e-0aca-11e7-82f6-3863bb44ef7c,False,51,2023-08-03 01:15:09.494449,0.0,0.0
36,1,5008,1,1,0,active,1,0,1,1691025486,e92414a8-e72f-4a69-a5a1-7f50f4c881e5,False,17,2023-08-03 01:15:09.494449,0.0,0.0
37,1,249,3,20,0,active,1,1,1,1691025489,66db408f-0aca-11e7-82f6-3863bb44ef7c,False,16,2023-08-03 01:15:09.494449,0.0,0.0
38,1,4153,0,17,0,active,1,0,1,1691025488,9af90faf-0b9b-451b-9cb0-20ff421ca1d9,False,9,2023-08-03 01:15:09.494449,0.0,0.0
39,1,4495,3,16,0,active,1,0,1,1691025496,ca843847-923a-40b7-80ca-c1c3fff6e818,False,1,2023-08-03 01:15:09.494449,0.0,0.0
40,1,315,2,3,0,active,1,1,1,1691025491,66db75cc-0aca-11e7-82f6-3863bb44ef7c,False,38,2023-08-03 01:15:09.494449,0.0,0.0
