,is_returning,last_reported,is_installed,num_ebikes_available,station_status,num_bikes_available,eightd_has_available_keys,is_renting,num_bikes_disabled,num_docks_available,num_docks_disabled,legacy_id,station_id,last_update,valet,eightd_active_station_services
412,0,1671238259,4,active,3272,10,False,1,0,1,3272,8,1,2022-12-17 02:00:27.007582,,
413,0,1671237418,1,active,3273,17,False,1,0,1,3273,9,1,2022-12-17 02:00:27.007582,,
414,0,1671241278,3,active,3275,11,False,1,0,1,3275,7,1,2022-12-17 02:00:27.007582,,
415,0,1671241533,20,active,3276,6,False,1,0,1,3276,3,1,2022-12-17 02:00:27.007582,,
416,0,1671231566,7,active,3277,7,False,1,0,1,3277,6,1,2022-12-17 02:00:27.007582,,
417,0,1671240448,10,active,3278,4,False,1,0,1,3278,4,1,2022-12-17 02:00:27.007582,,
418,0,1671237930,12,active,3279,6,False,1,0,1,3279,1,1,2022-12-17 02:00:27.007582,,
419,0,1671238062,9,active,3280,5,False,1,0,1,3280,2,1,2022-12-17 02:00:27.007582,,
420,0,1671241806,1,active,3281,13,False,1,0,1,3281,3,1,2022-12-17 02:00:27.007582,,
421,1,1671242378,43,active,3283,1,False,1,0,1,3283,1,1,2022-12-17 02:00:27.007582,,
422,0,1671242977,34,active,3284,4,False,1,0,1,3284,3,1,2022-12-17 02:00:27.007582,,
423,3,1671240507,30,active,3285,10,False,1,0,1,3285,6,1,2022-12-17 02:00:27.007582,,
424,3,1671242978,27,active,3286,7,False,1,0,1,3286,2,1,2022-12-17 02:00:27.007582,,
425,0,1671242602,30,active,3287,12,False,1,0,1,3287,9,1,2022-12-17 02:00:27.007582,,
426,3,1671241594,27,active,3288,9,False,1,0,1,3288,7,1,2022-12-17 02:00:27.007582,,
427,0,1671242070,30,active,3289,2,False,1,0,1,3289,2,1,2022-12-17 02:00:27.007582,,
428,0,1671241603,26,active,3290,9,False,1,0,1,3290,2,1,2022-12-17 02:00:27.007582,,
429,1,1671243100,28,active,3292,14,False,1,0,1,3292,12,1,2022-12-17 02:00:27.007582,,
430,0,1671241880,21,active,3293,3,False,1,0,1,3293,2,1,2022-12-17 02:00:27.007582,,
431,2,1671241827,31,active,3294,1,False,1,0,1,3294,1,1,2022-12-17 02:00:27.007582,,
432,0,1671239967,52,active,3296,21,False,1,0,1,3296,2,1,2022-12-17 02:00:27.007582,,
433,2,1671242540,17,active,3297,0,False,1,0,1,3297,0,1,2022-12-17 02:00:27.007582,,
434,0,1671242847,3,active,3298,28,False,1,0,1,3298,2,1,2022-12-17 02:00:27.007582,,
435,0,1671238444,23,active,3299,2,False,1,0,1,3299,0,1,2022-12-17 02:00:27.007582,,
436,0,1671242906,24,active,3300,1,False,1,0,1,3300,1,1,2022-12-17 02:00:27.007582,,
437,1,1671240999,24,active,3301,13,False,1,0,1,3301,11,1,2022-12-17 02:00:27.007582,,
438,1,1671233051,36,active,3302,3,False,1,0,1,3302,2,1,2022-12-17 02:00:27.007582,,
439,2,1671241228,7,active,3303,26,False,1,0,1,3303,3,1,2022-12-17 02:00:27.007582,,
440,1,1671242576,23,active,3304,3,False,1,0,1,3304,2,1,2022-12-17 02:00:27.007582,,
441,0,1671242176,50,active,3305,22,False,1,0,1,3305,7,1,2022-12-17 02:00:27.007582,,
442,0,1671240671,21,active,3306,0,False,1,0,1,3306,0,1,2022-12-17 02:00:27.007582,,
443,1,1671241068,25,active,3307,4,False,1,0,1,3307,1,1,2022-12-17 02:00:27.007582,,
444,0,1671241317,4,active,3308,23,False,1,0,1,3308,3,1,2022-12-17 02:00:27.007582,,
445,0,1671239790,21,active,3309,9,False,1,0,1,3309,1,1,2022-12-17 02:00:27.007582,,
446,1,1671242001,20,active,3310,3,False,1,0,1,3310,2,1,2022-12-17 02:00:27.007582,,
447,0,1671232613,0,active,3311,20,False,1,0,1,3311,0,1,2022-12-17 02:00:27.007582,,
448,0,1671240160,27,active,3312,11,False,1,0,1,3312,4,1,2022-12-17 02:00:27.007582,,
449,2,1671241416,22,active,3313,5,False,1,0,1,3313,2,1,2022-12-17 02:00:27.007582,,
450,0,1671242632,17,active,3314,15,False,1,0,1,3314,5,1,2022-12-17 02:00:27.007582,,
451,0,1671242385,9,active,3315,14,False,1,0,1,3315,6,1,2022-12-17 02:00:27.007582,,
452,2,1671243080,11,active,3317,11,False,1,0,1,3317,0,1,2022-12-17 02:00:27.007582,,
453,2,1671242295,11,active,3318,32,False,1,0,1,3318,7,1,2022-12-17 02:00:27.007582,,
454,1,1671237764,19,active,3319,0,False,1,0,1,3319,0,1,2022-12-17 02:00:27.007582,,
455,1,1671242818,24,active,3321,13,False,1,0,1,3321,0,1,2022-12-17 02:00:27.007582,,
456,1,1671239202,9,active,3322,15,False,1,0,1,3322,4,1,2022-12-17 02:00:27.007582,,
457,1,1671242416,54,active,3323,4,False,1,0,1,3323,3,1,2022-12-17 02:00:27.007582,,
458,0,1671227007,21,active,3324,4,False,1,0,1,3324,1,1,2022-12-17 02:00:27.007582,,
459,1,1671238030,26,active,3325,3,False,1,0,1,3325,3,1,2022-12-17 02:00:27.007582,,
460,0,1671227522,20,active,3326,1,False,1,0,1,3326,0,1,2022-12-17 02:00:27.007582,,
461,0,1671238997,14,active,3327,13,False,1,0,1,3327,2,1,2022-12-17 02:00:27.007582,,
462,1,1671243044,27,active,3328,9,False,1,0,1,3328,3,1,2022-12-17 02:00:27.007582,,
463,1,1671242054,16,active,3329,10,False,1,0,1,3329,2,1,2022-12-17 02:00:27.007582,,
464,1,1671234759,4,active,3330,14,False,1,0,1,3330,0,1,2022-12-17 02:00:27.007582,,
465,0,1671243064,51,active,3331,7,False,1,0,1,3331,4,1,2022-12-17 02:00:27.007582,,
466,1,1671242395,11,active,3332,14,False,1,0,1,3332,2,1,2022-12-17 02:00:27.007582,,
467,0,1671232002,2,active,3333,35,False,1,0,1,3333,1,1,2022-12-17 02:00:27.007582,,
468,0,1671243218,3,active,3335,25,False,1,0,1,3335,1,1,2022-12-17 02:00:27.007582,,
469,3,1671241245,38,active,3336,0,False,1,0,1,3336,0,1,2022-12-17 02:00:27.007582,,
470,2,1671241379,2,active,3337,19,False,1,0,1,3337,0,1,2022-12-17 02:00:27.007582,,
471,1,1671237168,28,active,3338,0,False,1,0,1,3338,0,1,2022-12-17 02:00:27.007582,,
472,2,1671242512,32,active,3339,7,False,1,0,1,3339,2,1,2022-12-17 02:00:27.007582,,
473,0,1671229512,1,active,3340,19,False,1,0,1,3340,0,1,2022-12-17 02:00:27.007582,,
474,0,1671175293,0,active,3342,23,False,1,0,1,3342,0,1,2022-12-17 02:00:27.007582,,
475,0,1671241826,19,active,3343,4,False,1,0,1,3343,3,1,2022-12-17 02:00:27.007582,,
476,0,1671238461,0,active,3344,39,False,1,0,1,3344,2,1,2022-12-17 02:00:27.007582,,
477,1,1671242068,32,active,3345,1,False,1,0,1,3345,1,1,2022-12-17 02:00:27.007582,,
478,2,1671238333,27,active,3346,0,False,1,0,1,3346,0,1,2022-12-17 02:00:27.007582,,
479,0,1671236557,0,active,3347,34,False,1,0,1,3347,1,1,2022-12-17 02:00:27.007582,,
480,1,1671240253,0,active,3348,29,False,1,0,1,3348,2,1,2022-12-17 02:00:27.007582,,
481,0,1671238139,39,active,3349,0,False,1,0,1,3349,0,1,2022-12-17 02:00:27.007582,,
482,0,1671242930,36,active,3350,2,False,1,0,1,3350,0,1,2022-12-17 02:00:27.007582,,
483,1,1671242224,15,active,3351,9,False,1,0,1,3351,5,1,2022-12-17 02:00:27.007582,,
484,2,1671234448,1,active,3352,18,False,1,0,1,3352,3,1,2022-12-17 02:00:27.007582,,
485,0,1671242207,26,active,3354,5,False,1,0,1,3354,1,1,2022-12-17 02:00:27.007582,,
486,1,1671241112,12,active,3355,12,False,1,0,1,3355,12,1,2022-12-17 02:00:27.007582,,
487,0,1671242892,12,active,3356,6,False,1,0,1,3356,2,1,2022-12-17 02:00:27.007582,,
488,0,1671241111,29,active,3357,6,False,1,0,1,3357,3,1,2022-12-17 02:00:27.007582,,
489,0,1671243166,18,active,3358,7,False,1,0,1,3358,2,1,2022-12-17 02:00:27.007582,,
490,2,1671242698,24,active,3359,31,False,1,0,1,3359,13,1,2022-12-17 02:00:27.007582,,
491,0,1671243043,37,active,3360,9,False,1,0,1,3360,6,1,2022-12-17 02:00:27.007582,,
492,1,1671241599,21,active,3361,1,False,1,0,1,3361,0,1,2022-12-17 02:00:27.007582,,
493,1,1671243160,26,active,3362,7,False,1,0,1,3362,4,1,2022-12-17 02:00:27.007582,,
494,0,1671239967,27,active,3363,6,False,1,0,1,3363,2,1,2022-12-17 02:00:27.007582,,
495,0,1671242875,0,active,3364,27,False,0,0,1,3364,10,0,2022-12-17 02:00:27.007582,,
496,0,1670902678,27,active,3365,0,False,0,0,1,3365,0,0,2022-12-17 02:00:27.007582,,
497,2,1671243075,25,active,3366,3,False,1,0,1,3366,2,1,2022-12-17 02:00:27.007582,,
498,2,1671239850,30,active,3367,7,False,1,0,1,3367,2,1,2022-12-17 02:00:27.007582,,
499,0,1671243228,23,active,3368,7,False,1,0,1,3368,2,1,2022-12-17 02:00:27.007582,,
500,0,1671241797,28,active,3369,1,False,1,0,1,3369,0,1,2022-12-17 02:00:27.007582,,
501,1,1671241737,19,active,3370,4,False,1,0,1,3370,2,1,2022-12-17 02:00:27.007582,,
502,1,1671242392,11,active,3372,67,False,1,0,1,3372,19,1,2022-12-17 02:00:27.007582,,
503,0,1671235396,44,active,3373,35,False,1,0,1,3373,0,1,2022-12-17 02:00:27.007582,,
504,0,1671242213,21,active,3374,15,False,1,0,1,3374,1,1,2022-12-17 02:00:27.007582,,
505,1,1671243079,15,active,3375,17,False,1,0,1,3375,3,1,2022-12-17 02:00:27.007582,,
506,1,1671237085,11,active,3376,21,False,1,15,1,3376,0,1,2022-12-17 02:00:27.007582,,
507,0,1671238372,22,active,3377,2,False,1,0,1,3377,0,1,2022-12-17 02:00:27.007582,,
508,0,86400,0,out_of_service,3378,0,False,0,0,0,3378,0,0,2022-12-17 02:00:27.007582,,
509,0,1671242612,10,active,3379,25,False,1,0,1,3379,2,1,2022-12-17 02:00:27.007582,,
510,0,1671240967,25,active,3381,28,False,1,0,1,3381,4,1,2022-12-17 02:00:27.007582,,
511,1,1671243184,32,active,3382,7,False,1,0,1,3382,0,1,2022-12-17 02:00:27.007582,,
512,0,1671242845,24,active,3383,1,False,1,0,1,3383,1,1,2022-12-17 02:00:27.007582,,
513,2,1671241364,19,active,3384,4,False,1,0,1,3384,0,1,2022-12-17 02:00:27.007582,,
514,1,1671239652,29,active,3386,4,False,1,0,1,3386,0,1,2022-12-17 02:00:27.007582,,
515,1,1671239758,14,active,3387,8,False,1,0,1,3387,4,1,2022-12-17 02:00:27.007582,,
516,0,1671237303,15,active,3388,10,False,1,0,1,3388,2,1,2022-12-17 02:00:27.007582,,
517,0,1671243209,12,active,3389,27,False,1,0,1,3389,7,1,2022-12-17 02:00:27.007582,,
