,num_bikes_available,station_id,legacy_id,station_status,eightd_has_available_keys,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_disabled,is_installed,is_renting,is_returning,last_update,valet,eightd_active_station_services
84,31,323,323,active,False,0,8,1,1671325949,0,1,1,1,2022-12-18 01:15:16.607891,,
85,67,324,324,active,False,0,3,3,1671325693,2,1,1,1,2022-12-18 01:15:16.607891,,
86,21,325,325,active,False,0,11,2,1671324444,1,1,1,1,2022-12-18 01:15:16.607891,,
87,28,326,326,active,False,0,32,11,1671325670,1,1,1,1,2022-12-18 01:15:16.607891,,
88,35,327,327,active,False,0,1,1,1671326113,1,1,1,1,2022-12-18 01:15:16.607891,,
89,32,328,328,active,False,0,0,2,1671321735,2,1,1,1,2022-12-18 01:15:16.607891,,
90,27,330,330,active,False,0,14,5,1671325846,0,1,1,1,2022-12-18 01:15:16.607891,,
91,20,331,331,active,False,0,7,1,1671323995,0,1,1,1,2022-12-18 01:15:16.607891,,
92,19,332,332,active,False,0,17,6,1671326092,0,1,1,1,2022-12-18 01:15:16.607891,,
93,38,334,334,active,False,0,4,5,1671326005,2,1,1,1,2022-12-18 01:15:16.607891,,
94,11,335,335,active,False,0,12,1,1671325047,4,1,1,1,2022-12-18 01:15:16.607891,,
95,53,336,336,active,False,0,4,2,1671325845,0,1,1,1,2022-12-18 01:15:16.607891,,
96,6,339,339,active,False,0,33,1,1671324996,1,1,1,1,2022-12-18 01:15:16.607891,,
97,4,340,340,active,False,0,23,0,1671322313,0,1,1,1,2022-12-18 01:15:16.607891,,
98,12,341,341,active,False,0,7,3,1671319029,0,1,1,1,2022-12-18 01:15:16.607891,,
99,8,342,342,active,False,0,20,1,1671325287,1,1,1,1,2022-12-18 01:15:16.607891,,
100,20,343,343,active,False,0,3,0,1671323060,0,1,1,1,2022-12-18 01:15:16.607891,,
101,1,344,344,active,False,0,21,1,1671325500,1,1,1,1,2022-12-18 01:15:16.607891,,
102,14,346,346,active,False,0,7,4,1671324303,5,1,1,1,2022-12-18 01:15:16.607891,,
