,is_renting,station_id,num_docks_disabled,num_bikes_disabled,num_ebikes_available,is_installed,num_bikes_available,legacy_id,last_reported,is_returning,eightd_has_available_keys,station_status,num_docks_available,last_update,eightd_active_station_services,valet
1456,2,2,1,4571,20,1,1,False,0,4571,1671140801,1,active,2022-12-16 02:15:17.582400,,
1457,1,1,1,4572,19,3,1,False,0,4572,1671147318,1,active,2022-12-16 02:15:17.582400,,
1458,0,0,1,4573,23,0,1,False,0,4573,1671155642,1,active,2022-12-16 02:15:17.582400,,
1459,22,1,1,4574,1,0,1,False,0,4574,1671111716,1,active,2022-12-16 02:15:17.582400,,
1460,16,1,1,4575,3,0,1,False,0,4575,1671136850,1,active,2022-12-16 02:15:17.582400,,
1461,9,2,0,4576,10,0,1,False,0,4576,1671146498,0,active,2022-12-16 02:15:17.582400,,
1462,13,1,1,4577,11,0,1,False,0,4577,1671155811,1,active,2022-12-16 02:15:17.582400,,
1463,4,4,1,4578,17,0,1,False,0,4578,1671140186,1,active,2022-12-16 02:15:17.582400,,
1464,1,0,1,4579,25,0,1,False,0,4579,1671151680,1,active,2022-12-16 02:15:17.582400,,
1465,2,0,1,4580,16,1,1,False,0,4580,1671151422,1,active,2022-12-16 02:15:17.582400,,
1466,4,0,1,4581,17,0,1,False,0,4581,1671142654,1,active,2022-12-16 02:15:17.582400,,
1467,13,5,1,4582,9,0,1,False,0,4582,1671155491,1,active,2022-12-16 02:15:17.582400,,
1468,0,0,1,4583,36,1,1,False,0,4583,1671133685,1,active,2022-12-16 02:15:17.582400,,
1469,4,2,1,4584,17,1,1,False,0,4584,1671149153,1,active,2022-12-16 02:15:17.582400,,
1470,17,0,1,4585,4,0,1,False,0,4585,1671133851,1,active,2022-12-16 02:15:17.582400,,
1471,2,2,1,4587,15,1,1,False,0,4587,1671152089,1,active,2022-12-16 02:15:17.582400,,
1472,33,0,1,4590,13,1,1,False,0,4590,1671155964,1,active,2022-12-16 02:15:17.582400,,
1473,26,3,1,4591,3,0,1,False,0,4591,1671155627,1,active,2022-12-16 02:15:17.582400,,
1474,42,1,1,4592,5,0,1,False,0,4592,1671150782,1,active,2022-12-16 02:15:17.582400,,
1475,24,0,1,4593,22,1,1,False,0,4593,1671140402,1,active,2022-12-16 02:15:17.582400,,
1476,40,1,1,4594,4,3,1,False,0,4594,1671156154,1,active,2022-12-16 02:15:17.582400,,
1477,8,0,1,4595,16,0,1,False,0,4595,1671157013,1,active,2022-12-16 02:15:17.582400,,
1478,0,0,0,4596,0,0,0,False,0,4596,86400,0,out_of_service,2022-12-16 02:15:17.582400,,
1479,8,3,1,4598,44,1,1,False,0,4598,1671154658,1,active,2022-12-16 02:15:17.582400,,
1480,4,0,0,4599,15,0,1,False,0,4599,1670985691,0,active,2022-12-16 02:15:17.582400,,
1481,16,2,1,4600,1,4,1,False,0,4600,1671150661,1,active,2022-12-16 02:15:17.582400,,
1482,14,5,1,4601,6,1,1,False,0,4601,1671148853,1,active,2022-12-16 02:15:17.582400,,
1483,54,3,1,4602,3,1,1,False,0,4602,1671150339,1,active,2022-12-16 02:15:17.582400,,
1484,9,3,1,4603,11,0,1,False,0,4603,1671112390,1,active,2022-12-16 02:15:17.582400,,
1485,1,0,1,4604,18,1,1,False,0,4604,1671120722,1,active,2022-12-16 02:15:17.582400,,
1486,27,1,1,4605,8,0,1,False,0,4605,1671148512,1,active,2022-12-16 02:15:17.582400,,
1487,6,2,1,4607,26,0,1,False,0,4607,1671153309,1,active,2022-12-16 02:15:17.582400,,
1488,1,1,1,4608,18,0,1,False,0,4608,1671146598,1,active,2022-12-16 02:15:17.582400,,
1489,5,0,1,4609,14,0,1,False,0,4609,1671133582,1,active,2022-12-16 02:15:17.582400,,
1490,9,1,1,4610,10,0,1,False,0,4610,1671154945,1,active,2022-12-16 02:15:17.582400,,
1491,17,1,1,4611,1,1,1,False,0,4611,1671149785,1,active,2022-12-16 02:15:17.582400,,
1492,8,1,1,4612,9,2,1,False,0,4612,1671137904,1,active,2022-12-16 02:15:17.582400,,
1493,2,1,1,4613,19,1,1,False,0,4613,1671139155,1,active,2022-12-16 02:15:17.582400,,
1494,3,1,1,4614,18,0,1,False,0,4614,1671149915,1,active,2022-12-16 02:15:17.582400,,
1495,7,0,1,4617,18,1,1,False,0,4617,1671153935,1,active,2022-12-16 02:15:17.582400,,
1496,15,1,1,4619,4,0,1,False,0,4619,1671147058,1,active,2022-12-16 02:15:17.582400,,
1497,43,7,1,4620,0,1,1,False,0,4620,1671151204,1,active,2022-12-16 02:15:17.582400,,
1498,4,2,0,4622,19,0,1,False,0,4622,1670897362,0,active,2022-12-16 02:15:17.582400,,
1499,0,0,1,4623,20,1,1,False,0,4623,1671131239,1,active,2022-12-16 02:15:17.582400,,
1500,0,0,1,4624,24,1,1,False,0,4624,1671140826,1,active,2022-12-16 02:15:17.582400,,
1501,18,2,1,4625,33,1,1,False,0,4625,1671147923,1,active,2022-12-16 02:15:17.582400,,
1502,1,1,1,4626,18,0,1,False,0,4626,1671136278,1,active,2022-12-16 02:15:17.582400,,
1503,5,3,1,4627,14,1,1,False,0,4627,1671157002,1,active,2022-12-16 02:15:17.582400,,
1504,0,0,1,4628,19,0,1,False,0,4628,1671100035,1,active,2022-12-16 02:15:17.582400,,
1505,2,2,1,4629,19,1,1,False,0,4629,1671139670,1,active,2022-12-16 02:15:17.582400,,
1506,17,6,1,4630,1,0,1,False,0,4630,1671148820,1,active,2022-12-16 02:15:17.582400,,
1507,0,0,1,4631,18,1,1,False,0,4631,1671133023,1,active,2022-12-16 02:15:17.582400,,
1508,8,0,1,4633,10,0,1,False,0,4633,1671098099,1,active,2022-12-16 02:15:17.582400,,
1509,1,1,1,4634,18,1,1,False,0,4634,1671131328,1,active,2022-12-16 02:15:17.582400,,
1510,9,0,1,4635,17,1,1,False,0,4635,1671139362,1,active,2022-12-16 02:15:17.582400,,
1511,14,2,1,4636,3,3,1,False,0,4636,1671156019,1,active,2022-12-16 02:15:17.582400,,
1512,21,3,1,4637,2,0,1,False,0,4637,1671137334,1,active,2022-12-16 02:15:17.582400,,
1513,0,0,1,4638,22,1,1,False,0,4638,1671121541,1,active,2022-12-16 02:15:17.582400,,
1514,11,0,1,4639,16,1,1,False,0,4639,1671134441,1,active,2022-12-16 02:15:17.582400,,
1515,39,6,1,4640,12,2,1,False,0,4640,1671157120,1,active,2022-12-16 02:15:17.582400,,
1516,41,16,1,4641,26,1,1,False,0,4641,1671156147,1,active,2022-12-16 02:15:17.582400,,
1517,44,17,1,4642,26,1,1,False,0,4642,1671152843,1,active,2022-12-16 02:15:17.582400,,
1518,17,14,1,4643,13,1,1,False,0,4643,1671157206,1,active,2022-12-16 02:15:17.582400,,
1519,5,4,1,4644,17,1,1,False,0,4644,1671149035,1,active,2022-12-16 02:15:17.582400,,
1520,10,6,1,4645,26,1,1,False,0,4645,1671156544,1,active,2022-12-16 02:15:17.582400,,
1521,9,6,1,4647,37,1,1,False,0,4647,1671154064,1,active,2022-12-16 02:15:17.582400,,
1522,36,10,1,4648,5,4,1,False,0,4648,1671157007,1,active,2022-12-16 02:15:17.582400,,
1523,27,11,1,4649,0,1,1,False,0,4649,1671137841,1,active,2022-12-16 02:15:17.582400,,
1524,15,3,1,4651,39,2,1,False,0,4651,1671155073,1,active,2022-12-16 02:15:17.582400,,
1525,10,2,1,4652,8,1,1,False,0,4652,1671136848,1,active,2022-12-16 02:15:17.582400,,
1526,4,2,1,4653,11,0,1,False,0,4653,1671152110,1,active,2022-12-16 02:15:17.582400,,
1527,13,6,1,4654,7,0,1,False,0,4654,1671157208,1,active,2022-12-16 02:15:17.582400,,
1528,3,2,1,4655,11,0,1,False,0,4655,1671156318,1,active,2022-12-16 02:15:17.582400,,
1529,2,0,1,4656,12,0,1,False,0,4656,1671151819,1,active,2022-12-16 02:15:17.582400,,
1530,16,9,1,4657,10,2,1,False,0,4657,1671147954,1,active,2022-12-16 02:15:17.582400,,
1531,22,2,1,4658,13,4,1,False,2,4658,1671155446,1,active,2022-12-16 02:15:17.582400,,
1532,29,0,1,4660,7,1,1,False,0,4660,1671153060,1,active,2022-12-16 02:15:17.582400,,
1533,3,0,1,4661,18,0,1,False,0,4661,1671129242,1,active,2022-12-16 02:15:17.582400,,
1534,2,0,1,4662,18,1,1,False,0,4662,1671137489,1,active,2022-12-16 02:15:17.582400,,
1535,19,0,1,4663,9,0,1,False,0,4663,1671148811,1,active,2022-12-16 02:15:17.582400,,
1536,8,1,1,4664,13,2,1,False,0,4664,1671150466,1,active,2022-12-16 02:15:17.582400,,
1537,25,1,1,4665,10,1,1,False,0,4665,1671154891,1,active,2022-12-16 02:15:17.582400,,
1538,22,3,1,4666,2,0,1,False,0,4666,1671152294,1,active,2022-12-16 02:15:17.582400,,
