,legacy_id,station_id,num_bikes_disabled,eightd_has_available_keys,last_reported,is_installed,is_returning,is_renting,num_ebikes_available,num_bikes_available,num_docks_disabled,num_docks_available,station_status,last_update
95,336,336,2,False,1670894381,1,1,1,3,55,0,0,active,2022-12-13 01:15:17.723177
96,339,339,1,False,1670890934,1,1,1,0,2,0,37,active,2022-12-13 01:15:17.723177
97,340,340,0,False,1670894420,1,1,1,4,25,0,2,active,2022-12-13 01:15:17.723177
98,341,341,1,False,1670888705,1,1,1,0,5,0,13,active,2022-12-13 01:15:17.723177
99,342,342,1,False,1670894630,1,1,1,2,13,0,15,active,2022-12-13 01:15:17.723177
100,343,343,4,False,1670893925,1,1,1,1,15,0,4,active,2022-12-13 01:15:17.723177
101,344,344,1,False,1670894122,1,1,1,2,3,0,16,active,2022-12-13 01:15:17.723177
102,346,346,0,False,1670893710,1,1,1,8,25,0,0,active,2022-12-13 01:15:17.723177
103,347,347,2,False,1670894397,1,1,1,3,32,0,12,active,2022-12-13 01:15:17.723177
104,349,349,1,False,1670893769,1,1,1,3,13,0,47,active,2022-12-13 01:15:17.723177
105,350,350,2,False,1670894484,1,1,1,8,25,0,16,active,2022-12-13 01:15:17.723177
106,352,352,0,False,1670894326,1,1,1,2,7,0,28,active,2022-12-13 01:15:17.723177
107,353,353,2,False,1670894603,1,1,1,3,17,0,8,active,2022-12-13 01:15:17.723177
108,354,354,2,False,1670894087,1,1,1,2,26,0,35,active,2022-12-13 01:15:17.723177
109,355,355,1,False,1670894240,1,1,1,1,34,0,7,active,2022-12-13 01:15:17.723177
110,356,356,0,False,1670892407,1,1,1,6,13,0,9,active,2022-12-13 01:15:17.723177
111,358,358,3,False,1670892387,1,1,1,7,46,0,0,active,2022-12-13 01:15:17.723177
112,359,359,0,False,1670893293,1,1,1,0,11,0,99,active,2022-12-13 01:15:17.723177
113,360,360,0,False,1670893488,1,1,1,1,46,0,9,active,2022-12-13 01:15:17.723177
114,361,361,4,False,1670894150,1,1,1,5,68,0,7,active,2022-12-13 01:15:17.723177
115,362,362,0,False,1670892426,1,1,1,1,16,0,41,active,2022-12-13 01:15:17.723177
116,363,363,1,False,1670894550,1,1,1,8,40,1,30,active,2022-12-13 01:15:17.723177
117,364,364,1,False,1670892428,1,1,1,0,4,0,22,active,2022-12-13 01:15:17.723177
118,366,366,0,False,1670893838,1,1,1,4,9,0,23,active,2022-12-13 01:15:17.723177
119,367,367,1,False,1670894515,1,1,1,0,15,0,40,active,2022-12-13 01:15:17.723177
120,368,368,0,False,86400,0,0,0,0,0,0,0,out_of_service,2022-12-13 01:15:17.723177
121,369,369,3,False,1670892525,1,1,1,10,73,0,0,active,2022-12-13 01:15:17.723177
122,372,372,1,False,1670894494,1,1,1,1,5,0,21,active,2022-12-13 01:15:17.723177
123,373,373,2,False,1670893502,1,1,1,1,2,0,14,active,2022-12-13 01:15:17.723177
124,376,376,0,False,1670894525,1,1,1,8,39,0,4,active,2022-12-13 01:15:17.723177
125,377,377,4,False,1670892874,1,1,1,4,38,0,7,active,2022-12-13 01:15:17.723177
126,379,379,2,False,1670894540,1,1,1,17,44,0,7,active,2022-12-13 01:15:17.723177
127,380,380,35,False,1670894601,1,1,1,7,7,0,0,active,2022-12-13 01:15:17.723177
128,383,383,0,False,86400,0,0,0,0,0,0,0,out_of_service,2022-12-13 01:15:17.723177
129,385,385,2,False,1670894522,1,1,1,2,5,0,21,active,2022-12-13 01:15:17.723177
130,386,386,2,False,1670893971,1,1,1,3,61,0,17,active,2022-12-13 01:15:17.723177
131,387,387,2,False,1670894562,1,1,1,7,29,0,6,active,2022-12-13 01:15:17.723177
132,388,388,0,False,1670892575,1,1,1,0,19,0,31,active,2022-12-13 01:15:17.723177
133,390,390,2,False,1670894564,1,1,1,2,31,0,14,active,2022-12-13 01:15:17.723177
134,391,391,2,False,1670894173,1,1,1,0,3,0,38,active,2022-12-13 01:15:17.723177
135,392,392,1,False,1670894257,1,1,1,2,26,0,8,active,2022-12-13 01:15:17.723177
136,393,393,1,False,1670894621,1,1,1,1,16,1,37,active,2022-12-13 01:15:17.723177
137,394,394,0,False,1670893709,1,1,1,9,20,0,14,active,2022-12-13 01:15:17.723177
138,396,396,0,False,1670892247,1,1,1,3,3,1,21,active,2022-12-13 01:15:17.723177
139,397,397,3,False,1670890128,1,1,1,4,7,0,64,active,2022-12-13 01:15:17.723177
140,398,398,4,False,1670894135,1,1,1,5,23,0,10,active,2022-12-13 01:15:17.723177
141,399,399,0,False,1670893662,1,1,1,10,12,0,25,active,2022-12-13 01:15:17.723177
142,400,400,0,False,1670894453,1,1,1,2,6,0,9,active,2022-12-13 01:15:17.723177
143,401,401,4,False,1670894217,1,1,1,4,36,0,1,active,2022-12-13 01:15:17.723177
144,403,403,0,False,86400,0,0,0,0,0,0,0,out_of_service,2022-12-13 01:15:17.723177
145,405,405,3,False,1670893886,1,1,1,3,24,0,24,active,2022-12-13 01:15:17.723177
146,406,406,0,False,1670894073,1,1,1,4,8,0,12,active,2022-12-13 01:15:17.723177
147,408,408,2,False,1670893758,1,1,1,5,41,0,2,active,2022-12-13 01:15:17.723177
148,410,410,0,False,1670893196,1,1,1,7,20,0,59,active,2022-12-13 01:15:17.723177
149,411,411,0,False,1670894349,1,1,1,5,14,0,17,active,2022-12-13 01:15:17.723177
150,412,412,1,False,1670894385,1,1,1,1,24,0,4,active,2022-12-13 01:15:17.723177
151,415,415,0,False,86400,0,0,0,0,0,0,0,out_of_service,2022-12-13 01:15:17.723177
