,eightd_has_available_keys,last_reported,num_docks_available,num_ebikes_available,is_installed,num_bikes_disabled,station_status,legacy_id,is_returning,num_docks_disabled,is_renting,num_bikes_available,station_id,last_update
83,False,1671997119,16,1,1,2,active,321,1,0,1,19,321,2022-12-26 01:15:06.645988
84,False,1672015337,16,2,1,4,active,323,1,0,1,19,323,2022-12-26 01:15:06.645988
85,False,1672017288,1,12,1,3,active,324,1,0,1,69,324,2022-12-26 01:15:06.645988
86,False,1672017403,13,2,1,1,active,325,1,0,1,19,325,2022-12-26 01:15:06.645988
87,False,1672015993,36,0,1,3,active,326,1,0,1,21,326,2022-12-26 01:15:06.645988
88,False,1672015690,4,5,1,4,active,327,1,0,1,31,327,2022-12-26 01:15:06.645988
89,False,1671992401,7,2,1,2,active,328,1,0,1,26,328,2022-12-26 01:15:06.645988
90,False,1672005195,0,12,1,1,active,330,1,0,1,38,330,2022-12-26 01:15:06.645988
91,False,1672015094,9,0,1,1,active,331,1,0,1,17,331,2022-12-26 01:15:06.645988
92,False,1672014817,31,1,1,1,active,332,1,0,1,4,332,2022-12-26 01:15:06.645988
93,False,1672015573,3,2,1,3,active,334,1,0,1,38,334,2022-12-26 01:15:06.645988
94,False,1672011439,2,4,1,3,active,335,1,0,1,18,335,2022-12-26 01:15:06.645988
95,False,1672013059,6,8,1,3,active,336,1,0,1,48,336,2022-12-26 01:15:06.645988
96,False,1672014233,34,1,1,3,active,339,1,0,1,4,339,2022-12-26 01:15:06.645988
97,False,1672013872,19,2,1,0,active,340,1,0,1,7,340,2022-12-26 01:15:06.645988
98,False,1672009495,13,1,1,0,active,341,1,0,1,6,341,2022-12-26 01:15:06.645988
99,False,1672017393,3,1,1,3,active,342,1,1,1,22,342,2022-12-26 01:15:06.645988
100,False,1671999663,3,0,1,1,active,343,1,0,1,19,343,2022-12-26 01:15:06.645988
101,False,1672017048,17,1,1,2,active,344,1,0,1,4,344,2022-12-26 01:15:06.645988
102,False,1672012480,1,3,1,0,active,346,1,0,1,24,346,2022-12-26 01:15:06.645988
103,False,1672017407,7,7,1,6,active,347,1,0,1,40,347,2022-12-26 01:15:06.645988
104,False,1672016510,41,2,1,1,active,349,1,0,1,18,349,2022-12-26 01:15:06.645988
105,False,1672015837,28,0,1,6,active,350,1,0,1,13,350,2022-12-26 01:15:06.645988
106,False,1672012819,3,7,1,1,active,352,1,0,1,30,352,2022-12-26 01:15:06.645988
107,False,1672004709,22,1,1,1,active,353,1,0,1,3,353,2022-12-26 01:15:06.645988
108,False,1672017119,51,4,1,2,active,354,1,0,1,6,354,2022-12-26 01:15:06.645988
109,False,1672014512,2,4,1,0,active,355,1,0,1,41,355,2022-12-26 01:15:06.645988
110,False,1672015603,18,1,1,1,active,356,1,0,1,3,356,2022-12-26 01:15:06.645988
111,False,1672006045,22,1,1,2,active,358,1,0,1,26,358,2022-12-26 01:15:06.645988
112,False,1672012283,86,8,1,2,active,359,1,0,1,21,359,2022-12-26 01:15:06.645988
113,False,1672006358,10,1,1,4,active,360,1,0,1,43,360,2022-12-26 01:15:06.645988
114,False,1672011584,11,3,1,8,active,361,1,0,1,60,361,2022-12-26 01:15:06.645988
115,False,1672011249,21,16,1,2,active,362,1,0,1,32,362,2022-12-26 01:15:06.645988
116,False,1672009659,5,19,1,1,active,363,1,0,1,66,363,2022-12-26 01:15:06.645988
117,False,1672014672,12,1,1,2,active,364,1,0,1,13,364,2022-12-26 01:15:06.645988
118,False,1672012617,18,3,1,2,active,366,1,0,1,13,366,2022-12-26 01:15:06.645988
119,False,1672005131,36,7,1,0,active,367,1,0,1,21,367,2022-12-26 01:15:06.645988
120,False,86400,0,0,0,0,out_of_service,368,0,0,0,0,368,2022-12-26 01:15:06.645988
121,False,1672014914,5,3,1,8,active,369,1,0,1,61,369,2022-12-26 01:15:06.645988
122,False,1672010178,21,2,1,0,active,372,1,0,1,5,372,2022-12-26 01:15:06.645988
123,False,1671999362,12,2,1,3,active,373,1,0,1,2,373,2022-12-26 01:15:06.645988
124,False,1672015681,10,0,1,2,active,376,1,0,1,30,376,2022-12-26 01:15:06.645988
125,False,1672016561,3,5,1,5,active,377,1,0,1,41,377,2022-12-26 01:15:06.645988
126,False,1672015581,8,22,1,2,active,379,1,0,1,44,379,2022-12-26 01:15:06.645988
127,False,1672017094,12,5,1,3,active,380,1,0,1,12,380,2022-12-26 01:15:06.645988
128,False,86400,0,0,0,0,out_of_service,383,0,0,0,0,383,2022-12-26 01:15:06.645988
129,False,1672015161,14,3,1,3,active,385,1,0,1,11,385,2022-12-26 01:15:06.645988
130,False,1672009283,3,7,1,5,active,386,1,0,1,70,386,2022-12-26 01:15:06.645988
131,False,1672013932,2,2,1,6,active,387,1,0,1,31,387,2022-12-26 01:15:06.645988
132,False,1672012914,19,0,1,0,active,388,1,0,1,32,388,2022-12-26 01:15:06.645988
133,False,1671995290,14,1,1,1,active,390,1,0,1,31,390,2022-12-26 01:15:06.645988
134,False,1672013100,40,0,1,0,active,391,1,0,1,3,391,2022-12-26 01:15:06.645988
135,False,1672011952,19,3,1,0,active,392,1,0,1,16,392,2022-12-26 01:15:06.645988
136,False,1672013995,41,0,1,0,active,393,1,0,1,14,393,2022-12-26 01:15:06.645988
137,False,1672016219,24,1,1,1,active,394,1,0,1,7,394,2022-12-26 01:15:06.645988
138,False,1671996345,13,0,1,0,active,396,1,0,1,12,396,2022-12-26 01:15:06.645988
139,False,1672016502,67,1,1,2,active,397,1,0,1,4,397,2022-12-26 01:15:06.645988
140,False,1672001613,3,0,1,2,active,398,1,0,1,32,398,2022-12-26 01:15:06.645988
