,is_renting,num_bikes_disabled,legacy_id,num_bikes_available,is_installed,num_docks_disabled,station_status,station_id,num_ebikes_available,last_reported,eightd_has_available_keys,is_returning,num_docks_available,last_update,num_scooters_available,num_scooters_unavailable
171,1,4,4252,3,1,1,active,83a5d761-57d0-4cd6-aa2b-7eb350120d99,2,1690680122,False,1,13,2023-07-30 01:15:08.977683,0.0,0.0
172,1,3,3786,33,1,0,active,e625e677-d175-4902-9764-d92716d86fd5,1,1690680122,False,1,8,2023-07-30 01:15:08.977683,0.0,0.0
173,1,1,4569,17,1,0,active,1096fc76-794e-4343-8eb0-0dd6c9a48266,9,1690680122,False,1,1,2023-07-30 01:15:08.977683,0.0,0.0
174,1,2,3113,6,1,0,active,66dd1f44-0aca-11e7-82f6-3863bb44ef7c,2,1690680122,False,1,17,2023-07-30 01:15:08.977683,0.0,0.0
175,1,0,4393,4,1,0,active,566a6389-5c22-49ca-8c24-4d9eea135170,3,1690680122,False,1,24,2023-07-30 01:15:08.977683,0.0,0.0
176,1,2,4917,14,1,0,active,c2bb1874-bcb7-47c5-aa7d-05423b9087e8,7,1690680123,False,1,9,2023-07-30 01:15:08.977683,0.0,0.0
177,1,1,3325,20,1,0,active,66de0861-0aca-11e7-82f6-3863bb44ef7c,5,1690680120,False,1,9,2023-07-30 01:15:08.977683,0.0,0.0
178,1,0,3110,13,1,0,active,66dd1d9c-0aca-11e7-82f6-3863bb44ef7c,3,1690680120,False,1,13,2023-07-30 01:15:08.977683,0.0,0.0
179,1,1,3348,29,1,0,active,66de1516-0aca-11e7-82f6-3863bb44ef7c,1,1690680120,False,1,2,2023-07-30 01:15:08.977683,0.0,0.0
180,1,1,3381,49,1,1,active,66de2b2f-0aca-11e7-82f6-3863bb44ef7c,3,1690680121,False,1,2,2023-07-30 01:15:08.977683,0.0,0.0
181,1,1,349,17,1,0,active,66dbc37a-0aca-11e7-82f6-3863bb44ef7c,2,1690680121,False,1,42,2023-07-30 01:15:08.977683,0.0,0.0
182,1,0,406,3,1,0,active,66dbf288-0aca-11e7-82f6-3863bb44ef7c,1,1690680121,False,1,14,2023-07-30 01:15:08.977683,0.0,0.0
183,1,1,3127,8,1,0,active,66dd26f9-0aca-11e7-82f6-3863bb44ef7c,4,1690680121,False,1,25,2023-07-30 01:15:08.977683,0.0,0.0
184,1,1,4084,16,1,0,active,545a32d3-b74c-4dc2-b82c-a6d185dd4666,1,1690680121,False,1,5,2023-07-30 01:15:08.977683,0.0,0.0
185,1,5,3435,16,1,0,active,66de85d2-0aca-11e7-82f6-3863bb44ef7c,6,1690680118,False,1,23,2023-07-30 01:15:08.977683,0.0,0.0
186,0,0,4820,0,0,0,out_of_service,7f4753d7-8d58-48bd-a881-de5bff08b27d,0,1690294244,False,0,0,2023-07-30 01:15:08.977683,,
187,1,0,3396,23,1,0,active,66de4959-0aca-11e7-82f6-3863bb44ef7c,5,1690680115,False,1,2,2023-07-30 01:15:08.977683,0.0,0.0
188,1,4,216,11,1,0,active,66db3687-0aca-11e7-82f6-3863bb44ef7c,5,1690680119,False,1,21,2023-07-30 01:15:08.977683,0.0,0.0
189,1,4,4515,1,1,0,active,023cf549-bd85-4f9a-abd8-70ba29d7e86b,1,1690680119,False,1,16,2023-07-30 01:15:08.977683,0.0,0.0
190,0,3,4642,39,1,56,active,64f0f28c-bedc-42d5-b107-ecdd48fc30cd,20,1690651823,False,0,2,2023-07-30 01:15:08.977683,0.0,0.0
191,1,0,4447,29,1,0,active,943a1a27-1328-4823-8945-28d845280383,2,1690680119,False,1,0,2023-07-30 01:15:08.977683,0.0,0.0
192,1,1,3860,20,1,0,active,f401cd5f-cb41-41f8-a857-4a4dfe778f94,3,1690680119,False,1,5,2023-07-30 01:15:08.977683,0.0,0.0
193,1,0,4942,0,1,0,active,0dd71c6d-11ee-4ad4-ba99-36b9ad36112c,0,1690680120,False,1,21,2023-07-30 01:15:08.977683,,
194,1,3,4412,24,1,0,active,6969d756-33a6-4a0b-83d0-3db38bc382d1,2,1690680116,False,1,3,2023-07-30 01:15:08.977683,0.0,0.0
195,1,8,4720,6,1,1,active,2637fed8-1e2a-460b-83eb-3eb32ace0f4e,2,1690680116,False,1,35,2023-07-30 01:15:08.977683,0.0,0.0
196,1,1,4593,31,1,0,active,59df3823-0369-4a10-8132-05df34a170af,2,1690680116,False,1,14,2023-07-30 01:15:08.977683,0.0,0.0
197,1,0,4287,17,1,0,active,f62526d4-9c6a-4c76-be76-c64b5be669d2,4,1690680117,False,1,4,2023-07-30 01:15:08.977683,0.0,0.0
198,1,2,366,6,1,0,active,66dbcd6c-0aca-11e7-82f6-3863bb44ef7c,4,1690680117,False,1,25,2023-07-30 01:15:08.977683,0.0,0.0
199,1,1,5068,14,1,0,active,bbc3c1df-f7db-4f54-8d5c-b8f4269ecb48,8,1690680117,False,1,4,2023-07-30 01:15:08.977683,0.0,0.0
200,1,0,4929,8,1,0,active,d2b23c87-b7c3-48c2-a634-db4b76ecbcf7,2,1690680123,False,1,12,2023-07-30 01:15:08.977683,0.0,0.0
201,1,1,3053,9,1,0,active,66dcc0b2-0aca-11e7-82f6-3863bb44ef7c,1,1690680124,False,1,13,2023-07-30 01:15:08.977683,0.0,0.0
202,1,1,4689,60,1,0,active,7dda8844-60ba-4449-b05c-54c1d14ab5fb,2,1690680124,False,1,8,2023-07-30 01:15:08.977683,0.0,0.0
203,1,0,5071,1,1,0,active,8aad788d-c7eb-4fca-a426-c39f47741a6f,0,1690680124,False,1,26,2023-07-30 01:15:08.977683,0.0,0.0
204,0,0,4313,0,0,0,out_of_service,37a37e5b-f975-4f92-a897-dca8e4670631,0,1689258074,False,0,0,2023-07-30 01:15:08.977683,,
205,1,2,4332,14,1,0,active,f3140fb8-347b-4dca-96df-eeef2d1bfc50,3,1690680125,False,1,5,2023-07-30 01:15:08.977683,0.0,0.0
