,last_reported,num_ebikes_available,legacy_id,num_docks_available,eightd_has_available_keys,num_bikes_available,is_installed,station_id,num_docks_disabled,is_returning,is_renting,station_status,num_bikes_disabled,last_update,eightd_active_station_services,valet
536,1671584238,1,3413,0,False,21,1,3413,0,1,1,active,1,2022-12-21 01:00:54.934804,,
537,1671583428,10,3414,5,False,28,1,3414,0,1,1,active,0,2022-12-21 01:00:54.934804,,
538,1671581350,1,3415,2,False,23,1,3415,0,1,1,active,0,2022-12-21 01:00:54.934804,,
539,1671585102,0,3416,24,False,0,1,3416,0,1,1,active,1,2022-12-21 01:00:54.934804,,
540,1671583318,1,3418,32,False,1,1,3418,0,1,1,active,0,2022-12-21 01:00:54.934804,,
541,1671584502,3,3419,0,False,51,1,3419,0,1,1,active,0,2022-12-21 01:00:54.934804,,
542,1671583387,2,3420,1,False,34,1,3420,0,1,1,active,0,2022-12-21 01:00:54.934804,,
543,1671584487,3,3421,0,False,34,1,3421,0,1,1,active,1,2022-12-21 01:00:54.934804,,
544,1671584718,1,3422,0,False,20,1,3422,0,1,1,active,1,2022-12-21 01:00:54.934804,,
545,1671584588,1,3423,22,False,6,1,3423,0,1,1,active,0,2022-12-21 01:00:54.934804,,
546,1671584252,3,3424,8,False,18,1,3424,0,1,1,active,1,2022-12-21 01:00:54.934804,,
547,1671584209,5,3425,21,False,10,1,3425,0,1,1,active,0,2022-12-21 01:00:54.934804,,
548,1671584913,2,3429,11,False,25,1,3429,0,1,1,active,2,2022-12-21 01:00:54.934804,,
549,1671584504,3,3430,12,False,12,1,3430,0,1,1,active,0,2022-12-21 01:00:54.934804,,
550,1671584825,0,3435,11,False,33,1,3435,0,1,1,active,1,2022-12-21 01:00:54.934804,,
551,1671583163,0,3436,8,False,25,1,3436,0,1,1,active,2,2022-12-21 01:00:54.934804,,
552,1671584499,2,3437,51,False,4,1,3437,0,1,1,active,2,2022-12-21 01:00:54.934804,,
553,1671585060,1,3440,28,False,18,1,3440,0,1,1,active,0,2022-12-21 01:00:54.934804,,
554,1671583432,9,3443,33,False,24,1,3443,0,1,1,active,2,2022-12-21 01:00:54.934804,,
555,1671584237,3,3452,5,False,38,1,3452,0,1,1,active,0,2022-12-21 01:00:54.934804,,
556,1671584986,3,3453,13,False,6,1,3453,0,1,1,active,0,2022-12-21 01:00:54.934804,,
557,1671584449,1,3454,11,False,9,1,3454,0,1,1,active,3,2022-12-21 01:00:54.934804,,
558,1671585120,2,3456,3,False,18,1,3456,0,1,1,active,1,2022-12-21 01:00:54.934804,,
559,1671585204,1,3457,47,False,16,1,3457,0,1,1,active,2,2022-12-21 01:00:54.934804,,
