,is_renting,num_bikes_available,is_installed,num_bikes_disabled,is_returning,last_reported,station_id,num_docks_available,legacy_id,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,last_update
771,1,19,1,1,1,1671842811,3774,3,3774,active,0,False,0,2022-12-24 01:00:30.434515
772,1,27,1,0,1,1671835636,3775,0,3775,active,0,False,2,2022-12-24 01:00:30.434515
773,1,2,1,0,1,1671816859,3776,21,3776,active,0,False,0,2022-12-24 01:00:30.434515
774,1,8,1,1,1,1671832986,3777,13,3777,active,0,False,2,2022-12-24 01:00:30.434515
775,1,25,1,0,1,1671838804,3778,0,3778,active,0,False,4,2022-12-24 01:00:30.434515
776,1,23,1,0,1,1671828432,3779,0,3779,active,0,False,5,2022-12-24 01:00:30.434515
777,1,20,1,2,1,1671844052,3780,0,3780,active,0,False,2,2022-12-24 01:00:30.434515
778,1,15,1,0,1,1671839164,3781,14,3781,active,0,False,2,2022-12-24 01:00:30.434515
779,1,24,1,2,1,1671831481,3782,5,3782,active,0,False,1,2022-12-24 01:00:30.434515
780,1,59,1,3,1,1671843601,3783,3,3783,active,0,False,1,2022-12-24 01:00:30.434515
781,1,35,1,2,1,1671844008,3785,15,3785,active,0,False,4,2022-12-24 01:00:30.434515
782,1,1,1,44,1,1671844118,3786,0,3786,active,3,False,1,2022-12-24 01:00:30.434515
783,1,17,1,1,1,1671834674,3787,2,3787,active,0,False,0,2022-12-24 01:00:30.434515
784,1,7,1,0,1,1671843703,3789,23,3789,active,0,False,1,2022-12-24 01:00:30.434515
785,1,2,1,1,1,1671840361,3790,32,3790,active,0,False,1,2022-12-24 01:00:30.434515
786,1,28,1,2,1,1671840256,3791,1,3791,active,0,False,13,2022-12-24 01:00:30.434515
787,1,16,1,1,1,1671843575,3792,11,3792,active,0,False,4,2022-12-24 01:00:30.434515
788,1,15,1,1,1,1671833710,3795,3,3795,active,0,False,1,2022-12-24 01:00:30.434515
789,0,41,1,1,0,1671842079,3798,12,3798,active,0,False,6,2022-12-24 01:00:30.434515
790,1,26,1,1,1,1671842722,3799,40,3799,active,0,False,7,2022-12-24 01:00:30.434515
791,1,6,1,0,1,1671843531,3803,20,3803,active,0,False,1,2022-12-24 01:00:30.434515
792,1,9,1,1,1,1671836163,3804,13,3804,active,0,False,0,2022-12-24 01:00:30.434515
793,1,8,1,2,1,1671842036,3808,9,3808,active,0,False,2,2022-12-24 01:00:30.434515
794,1,47,1,0,1,1671840977,3809,30,3809,active,0,False,17,2022-12-24 01:00:30.434515
795,1,5,1,0,1,1671827977,3811,14,3811,active,0,False,0,2022-12-24 01:00:30.434515
796,1,45,1,4,1,1671843654,3812,7,3812,active,0,False,12,2022-12-24 01:00:30.434515
797,1,32,1,0,1,1671843776,3813,16,3813,active,0,False,2,2022-12-24 01:00:30.434515
798,1,13,1,0,1,1671840784,3814,20,3814,active,0,False,9,2022-12-24 01:00:30.434515
799,1,10,1,0,1,1671842540,3815,30,3815,active,0,False,4,2022-12-24 01:00:30.434515
800,1,23,1,0,1,1671782656,3816,0,3816,active,0,False,1,2022-12-24 01:00:30.434515
801,1,2,1,0,1,1671825209,3817,16,3817,active,0,False,0,2022-12-24 01:00:30.434515
802,1,12,1,1,1,1671834159,3818,27,3818,active,0,False,1,2022-12-24 01:00:30.434515
803,1,5,1,0,1,1671824951,3819,14,3819,active,0,False,0,2022-12-24 01:00:30.434515
804,1,9,1,0,1,1671842929,3820,10,3820,active,0,False,2,2022-12-24 01:00:30.434515
805,1,2,1,0,1,1671841783,3821,22,3821,active,0,False,0,2022-12-24 01:00:30.434515
806,1,4,1,1,1,1671839683,3822,15,3822,active,0,False,0,2022-12-24 01:00:30.434515
807,1,1,1,0,1,1671840830,3823,29,3823,active,0,False,0,2022-12-24 01:00:30.434515
808,1,2,1,1,1,1671835660,3824,19,3824,active,0,False,2,2022-12-24 01:00:30.434515
809,1,1,1,0,1,1671825824,3825,28,3825,active,0,False,1,2022-12-24 01:00:30.434515
810,1,1,1,0,1,1671843741,3826,16,3826,active,0,False,1,2022-12-24 01:00:30.434515
811,1,0,1,0,1,1671838599,3827,20,3827,active,0,False,0,2022-12-24 01:00:30.434515
812,1,13,1,0,1,1671843362,3828,9,3828,active,0,False,3,2022-12-24 01:00:30.434515
813,1,2,1,0,1,1671832432,3829,21,3829,active,0,False,2,2022-12-24 01:00:30.434515
814,1,4,1,0,1,1671838539,3830,18,3830,active,0,False,2,2022-12-24 01:00:30.434515
815,1,13,1,0,1,1671829397,3831,21,3831,active,0,False,6,2022-12-24 01:00:30.434515
816,1,2,1,0,1,1671837135,3832,19,3832,active,0,False,2,2022-12-24 01:00:30.434515
817,1,4,1,0,1,1671834436,3833,14,3833,active,0,False,1,2022-12-24 01:00:30.434515
818,1,7,1,2,1,1671837005,3834,9,3834,active,0,False,1,2022-12-24 01:00:30.434515
819,1,5,1,0,1,1671841470,3835,16,3835,active,0,False,4,2022-12-24 01:00:30.434515
820,1,4,1,2,1,1671835475,3836,23,3836,active,0,False,1,2022-12-24 01:00:30.434515
821,1,18,1,1,1,1671842099,3837,9,3837,active,0,False,8,2022-12-24 01:00:30.434515
822,1,1,1,2,1,1671837341,3838,21,3838,active,0,False,1,2022-12-24 01:00:30.434515
823,1,2,1,0,1,1671840178,3839,27,3839,active,0,False,1,2022-12-24 01:00:30.434515
824,1,0,1,1,1,1671808201,3840,23,3840,active,0,False,0,2022-12-24 01:00:30.434515
825,1,0,1,1,1,1671824978,3841,24,3841,active,0,False,0,2022-12-24 01:00:30.434515
826,1,6,1,1,1,1671838003,3842,22,3842,active,0,False,3,2022-12-24 01:00:30.434515
827,1,1,1,0,1,1671827273,3843,22,3843,active,0,False,0,2022-12-24 01:00:30.434515
828,1,9,1,3,1,1671843088,3844,11,3844,active,0,False,5,2022-12-24 01:00:30.434515
829,1,16,1,0,1,1671841964,3845,4,3845,active,0,False,1,2022-12-24 01:00:30.434515
830,1,5,1,2,1,1671839221,3846,18,3846,active,0,False,0,2022-12-24 01:00:30.434515
831,1,12,1,1,1,1671841531,3847,12,3847,active,0,False,6,2022-12-24 01:00:30.434515
832,1,11,1,0,1,1671842355,3848,20,3848,active,0,False,0,2022-12-24 01:00:30.434515
833,1,14,1,1,1,1671834418,3849,1,3849,active,0,False,1,2022-12-24 01:00:30.434515
834,1,21,1,1,1,1671843649,3850,2,3850,active,0,False,3,2022-12-24 01:00:30.434515
835,1,18,1,0,1,1671831542,3851,1,3851,active,0,False,3,2022-12-24 01:00:30.434515
836,1,16,1,0,1,1671841404,3852,1,3852,active,0,False,5,2022-12-24 01:00:30.434515
837,1,19,1,0,1,1671815762,3853,1,3853,active,0,False,2,2022-12-24 01:00:30.434515
838,1,11,1,1,1,1671833961,3854,12,3854,active,0,False,2,2022-12-24 01:00:30.434515
839,1,1,1,0,1,1671829438,3855,21,3855,active,0,False,0,2022-12-24 01:00:30.434515
840,1,11,1,0,1,1671843973,3856,14,3856,active,0,False,1,2022-12-24 01:00:30.434515
841,1,12,1,0,1,1671838762,3857,5,3857,active,0,False,1,2022-12-24 01:00:30.434515
842,1,18,1,0,1,1671836975,3858,2,3858,active,0,False,2,2022-12-24 01:00:30.434515
843,1,6,1,0,1,1671841171,3860,19,3860,active,0,False,2,2022-12-24 01:00:30.434515
844,1,1,1,0,1,1671840968,3861,19,3861,active,0,False,0,2022-12-24 01:00:30.434515
845,1,3,1,0,1,1671824815,3862,14,3862,active,0,False,0,2022-12-24 01:00:30.434515
846,1,1,1,1,1,1671825598,3863,16,3863,active,0,False,0,2022-12-24 01:00:30.434515
847,1,9,1,0,1,1671841415,3864,21,3864,active,0,False,1,2022-12-24 01:00:30.434515
848,1,10,1,2,1,1671842331,3866,19,3866,active,0,False,0,2022-12-24 01:00:30.434515
849,1,9,1,0,1,1671841952,3867,19,3867,active,0,False,4,2022-12-24 01:00:30.434515
850,1,3,1,0,1,1671841403,3868,16,3868,active,0,False,0,2022-12-24 01:00:30.434515
851,1,4,1,0,1,1671840459,3869,18,3869,active,0,False,1,2022-12-24 01:00:30.434515
852,1,8,1,0,1,1671838004,3870,12,3870,active,0,False,0,2022-12-24 01:00:30.434515
853,1,2,1,1,1,1671821303,3871,27,3871,active,0,False,0,2022-12-24 01:00:30.434515
854,1,1,1,0,1,1671841532,3872,18,3872,active,0,False,1,2022-12-24 01:00:30.434515
855,1,0,1,0,1,1671820921,3873,17,3873,active,0,False,0,2022-12-24 01:00:30.434515
856,1,0,1,0,1,1671824879,3874,16,3874,active,0,False,0,2022-12-24 01:00:30.434515
857,1,9,1,0,1,1671782658,3875,6,3875,active,0,False,0,2022-12-24 01:00:30.434515
858,1,19,1,0,1,1671835012,3876,3,3876,active,0,False,16,2022-12-24 01:00:30.434515
859,1,0,1,0,1,1671827614,3877,25,3877,active,0,False,0,2022-12-24 01:00:30.434515
860,1,4,1,0,1,1671821939,3878,15,3878,active,0,False,1,2022-12-24 01:00:30.434515
861,1,5,1,0,1,1671843480,3879,19,3879,active,0,False,3,2022-12-24 01:00:30.434515
862,1,14,1,0,1,1671834772,3880,12,3880,active,0,False,10,2022-12-24 01:00:30.434515
863,1,6,1,2,1,1671825890,3881,31,3881,active,0,False,0,2022-12-24 01:00:30.434515
864,1,3,1,1,1,1671828040,3882,10,3882,active,0,False,0,2022-12-24 01:00:30.434515
865,1,0,1,0,1,1671827133,3883,18,3883,active,0,False,0,2022-12-24 01:00:30.434515
866,1,6,1,1,1,1671842199,3884,16,3884,active,0,False,1,2022-12-24 01:00:30.434515
867,1,6,1,0,1,1671829617,3885,11,3885,active,0,False,2,2022-12-24 01:00:30.434515
868,1,9,1,1,1,1671832956,3886,9,3886,active,0,False,1,2022-12-24 01:00:30.434515
869,1,10,1,0,1,1671828002,3887,11,3887,active,0,False,1,2022-12-24 01:00:30.434515
870,1,8,1,2,1,1671839789,3888,6,3888,active,0,False,7,2022-12-24 01:00:30.434515
871,1,1,1,0,1,1671830085,3890,30,3890,active,0,False,0,2022-12-24 01:00:30.434515
872,1,2,1,0,1,1671834635,3891,18,3891,active,0,False,2,2022-12-24 01:00:30.434515
873,1,1,1,0,1,1671830218,3892,18,3892,active,0,False,1,2022-12-24 01:00:30.434515
874,1,3,1,1,1,1671841991,3893,20,3893,active,0,False,2,2022-12-24 01:00:30.434515
875,1,31,1,3,1,1671842014,3894,1,3894,active,0,False,6,2022-12-24 01:00:30.434515
876,1,2,1,0,1,1671817555,3895,22,3895,active,0,False,0,2022-12-24 01:00:30.434515
877,1,3,1,0,1,1671834408,3896,19,3896,active,0,False,1,2022-12-24 01:00:30.434515
878,1,3,1,0,1,1671842555,3897,14,3897,active,0,False,1,2022-12-24 01:00:30.434515
879,1,22,1,2,1,1671840754,3898,32,3898,active,0,False,4,2022-12-24 01:00:30.434515
880,1,18,1,0,1,1671828203,3899,0,3899,active,0,False,1,2022-12-24 01:00:30.434515
881,1,14,1,3,1,1671835786,3900,12,3900,active,0,False,0,2022-12-24 01:00:30.434515
882,1,2,1,1,1,1671837645,3901,14,3901,active,0,False,1,2022-12-24 01:00:30.434515
883,1,4,1,0,1,1671830837,3902,14,3902,active,0,False,0,2022-12-24 01:00:30.434515
884,1,1,1,0,1,1671833843,3903,16,3903,active,0,False,1,2022-12-24 01:00:30.434515
885,1,23,1,0,1,1671843156,3904,10,3904,active,0,False,11,2022-12-24 01:00:30.434515
886,1,35,1,1,1,1671844214,3905,3,3905,active,0,False,4,2022-12-24 01:00:30.434515
887,1,24,1,2,1,1671840814,3906,2,3906,active,0,False,0,2022-12-24 01:00:30.434515
888,1,6,1,0,1,1671832100,3907,11,3907,active,0,False,1,2022-12-24 01:00:30.434515
889,1,11,1,0,1,1671832202,3909,8,3909,active,0,False,4,2022-12-24 01:00:30.434515
890,1,0,1,1,1,1671840706,3910,15,3910,active,0,False,0,2022-12-24 01:00:30.434515
891,1,11,1,2,1,1671839809,3913,5,3913,active,0,False,0,2022-12-24 01:00:30.434515
892,1,13,1,6,1,1671838803,3914,17,3914,active,0,False,8,2022-12-24 01:00:30.434515
893,1,18,1,1,1,1671842343,3917,12,3917,active,0,False,0,2022-12-24 01:00:30.434515
894,1,7,1,0,1,1671843929,3920,12,3920,active,0,False,3,2022-12-24 01:00:30.434515
895,1,15,1,1,1,1671841510,3921,3,3921,active,0,False,1,2022-12-24 01:00:30.434515
896,1,9,1,0,1,1671841345,3922,9,3922,active,0,False,2,2022-12-24 01:00:30.434515
897,1,0,1,0,1,1671833716,3923,17,3923,active,0,False,0,2022-12-24 01:00:30.434515
898,1,21,1,0,1,1671841306,3924,3,3924,active,0,False,1,2022-12-24 01:00:30.434515
899,1,0,1,0,1,1671840124,3926,20,3926,active,0,False,0,2022-12-24 01:00:30.434515
900,1,6,1,1,1,1671843737,3927,20,3927,active,0,False,3,2022-12-24 01:00:30.434515
901,1,2,1,0,1,1671842497,3928,19,3928,active,0,False,1,2022-12-24 01:00:30.434515
902,1,19,1,0,1,1671836589,3929,0,3929,active,0,False,4,2022-12-24 01:00:30.434515
903,1,8,1,0,1,1671838043,3930,11,3930,active,0,False,2,2022-12-24 01:00:30.434515
904,1,15,1,1,1,1671833350,3931,7,3931,active,0,False,1,2022-12-24 01:00:30.434515
905,1,2,1,0,1,1671839643,3932,19,3932,active,0,False,1,2022-12-24 01:00:30.434515
906,1,12,1,0,1,1671837110,3933,6,3933,active,0,False,0,2022-12-24 01:00:30.434515
907,1,3,1,0,1,1671843476,3934,24,3934,active,0,False,1,2022-12-24 01:00:30.434515
908,1,4,1,1,1,1671830171,3935,14,3935,active,0,False,1,2022-12-24 01:00:30.434515
909,1,8,1,0,1,1671815259,3936,11,3936,active,0,False,2,2022-12-24 01:00:30.434515
910,1,19,1,0,1,1671831271,3937,4,3937,active,0,False,2,2022-12-24 01:00:30.434515
911,1,8,1,0,1,1671830020,3938,11,3938,active,0,False,3,2022-12-24 01:00:30.434515
912,1,18,1,0,1,1671831509,3939,3,3939,active,0,False,4,2022-12-24 01:00:30.434515
913,1,15,1,1,1,1671829510,3940,0,3940,active,0,False,4,2022-12-24 01:00:30.434515
914,1,16,1,0,1,1671828222,3941,0,3941,active,0,False,9,2022-12-24 01:00:30.434515
